Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,9.78,9.79,9.43,9.55,27304000,9.55
2015-10-15,9.93,10.00,9.63,9.70,49779200,9.70
2015-10-14,10.09,10.11,9.91,9.95,42245400,9.95
2015-10-13,9.96,10.22,9.86,10.03,36220300,10.03
2015-10-12,10.28,10.29,9.97,10.08,31371900,10.08
2015-10-09,10.67,10.92,10.25,10.26,78627900,10.26
2015-10-08,10.85,11.11,10.63,11.01,34172000,11.01
2015-10-07,11.15,11.18,10.66,10.94,41579500,10.94
2015-10-06,10.43,11.03,10.41,10.98,57215700,10.98
2015-10-05,9.61,10.45,9.60,10.41,48411000,10.41
2015-10-02,9.15,9.52,9.10,9.52,28080000,9.52
2015-10-01,9.71,9.85,9.19,9.26,36835700,9.26
2015-09-30,9.61,9.71,9.43,9.66,41445800,9.66
2015-09-29,9.62,9.77,9.36,9.45,39295900,9.45
2015-09-28,9.46,9.64,9.20,9.59,95268500,9.59
2015-09-25,9.25,9.29,8.96,9.07,18989200,9.07
2015-09-24,9.07,9.26,8.86,9.18,25680500,9.18
2015-09-23,9.58,9.59,9.19,9.20,20923500,9.20
2015-09-22,9.60,9.63,9.38,9.50,25283600,9.50
2015-09-21,9.98,10.10,9.90,9.90,17627900,9.90
2015-09-18,9.85,10.03,9.76,9.97,28921100,9.97
2015-09-17,9.81,10.16,9.75,9.95,24427200,9.95
2015-09-16,9.70,9.88,9.70,9.86,19872400,9.86
2015-09-15,9.39,9.71,9.37,9.63,17928800,9.63
2015-09-14,9.58,9.61,9.32,9.38,31110300,9.38
2015-09-11,9.60,9.75,9.54,9.65,19493400,9.65
2015-09-10,9.56,9.72,9.51,9.63,29476300,9.63
2015-09-09,9.92,9.94,9.53,9.57,29318000,9.57
2015-09-08,9.87,9.87,9.60,9.72,17975500,9.72
2015-09-04,9.39,9.64,9.30,9.49,48097800,9.49
2015-09-03,9.40,9.75,9.35,9.57,28178300,9.57
2015-09-02,9.39,9.39,9.01,9.32,40290600,9.32
2015-09-01,9.15,9.32,9.07,9.22,32615500,9.22
2015-08-31,9.27,9.53,9.22,9.45,30435400,9.45
2015-08-28,8.88,9.42,8.80,9.41,42041400,9.41
2015-08-27,8.40,8.92,8.38,8.86,27250500,8.86
2015-08-26,8.26,8.29,8.02,8.26,27639500,8.26
2015-08-25,8.63,8.66,8.11,8.11,26058000,8.11
2015-08-24,8.20,8.54,7.97,8.20,41042900,8.20
2015-08-21,8.97,8.98,8.73,8.73,25138900,8.73
2015-08-20,9.19,9.22,8.98,9.03,17657900,9.03
2015-08-19,9.18,9.29,9.10,9.11,18581600,9.11
2015-08-18,9.30,9.36,9.24,9.27,16213100,9.27
2015-08-17,9.31,9.49,9.26,9.43,9865300,9.43
2015-08-14,9.32,9.43,9.28,9.41,13221600,9.41
2015-08-13,9.52,9.52,9.30,9.31,14429800,9.31
2015-08-12,9.39,9.56,9.28,9.51,28685600,9.51
2015-08-11,9.70,9.74,9.42,9.48,39681000,9.48
2015-08-10,9.53,10.09,9.41,10.08,27910500,10.08
2015-08-07,9.82,10.06,9.36,9.41,33190200,9.41
2015-08-06,9.76,9.96,9.64,9.91,22662000,9.91
2015-08-05,9.91,10.15,9.75,9.76,24967600,9.76
2015-08-04,9.94,10.07,9.68,9.73,24551600,9.70
2015-08-03,9.82,9.82,9.58,9.64,21546200,9.610278
2015-07-31,10.09,10.14,9.86,9.87,18334500,9.839568
2015-07-30,10.19,10.25,9.88,9.98,19834700,9.949229
2015-07-29,9.92,10.22,9.89,10.16,31605600,10.128674
2015-07-28,9.75,9.93,9.61,9.87,27138600,9.839568
2015-07-27,9.71,9.99,9.59,9.62,27877700,9.590339
2015-07-24,9.91,9.91,9.65,9.81,27614400,9.779754
2015-07-23,10.09,10.19,9.90,9.96,21993800,9.929291
2015-07-22,10.16,10.16,9.96,9.99,40629000,9.959198
2015-07-21,10.20,10.44,10.16,10.23,24257300,10.198458
2015-07-20,10.45,10.47,10.18,10.20,22766800,10.168551
2015-07-17,10.49,10.55,10.36,10.49,16003600,10.457657
2015-07-16,10.65,10.65,10.43,10.51,16344600,10.477595
2015-07-15,10.77,10.79,10.52,10.57,19278600,10.53741
2015-07-14,10.77,10.86,10.65,10.77,17365100,10.736794
2015-07-13,10.77,10.84,10.69,10.82,19075700,10.786639
2015-07-10,10.77,10.87,10.61,10.63,23818300,10.597225
2015-07-09,10.74,10.97,10.57,10.59,40237700,10.557349
2015-07-08,10.95,11.00,10.39,10.50,45976600,10.467626
2015-07-07,10.96,11.11,10.58,11.06,31468600,11.0259
