Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,46.970001,47.099998,45.91,46.52,3787600,46.52
2015-10-15,45.459999,46.849998,45.23,46.75,4241300,46.75
2015-10-14,44.509998,45.959999,44.189999,45.689999,3687900,45.689999
2015-10-13,44.419998,45.139999,43.619999,44.59,5275500,44.59
2015-10-12,46.560001,46.560001,44.34,44.950001,4497200,44.950001
2015-10-09,47.459999,47.599998,45.970001,46.470001,4175200,46.470001
2015-10-08,45.849998,47.630001,45.669998,47.150002,5331000,47.150002
2015-10-07,46.759998,47.98,44.450001,45.93,6081400,45.93
2015-10-06,44.09,46.310001,43.959999,46.119999,6323900,46.119999
2015-10-05,43.099998,44.400002,42.830002,43.98,4899700,43.98
2015-10-02,39.189999,42.810001,39.099998,42.610001,5914400,42.610001
2015-10-01,39.919998,41.02,39.310001,39.720001,7267500,39.720001
2015-09-30,37.470001,39.290001,37.34,39.16,6988700,39.16
2015-09-29,36.619999,37.16,35.790001,37.119999,5517200,37.119999
2015-09-28,37.630001,37.73,36.16,36.200001,5642800,36.200001
2015-09-25,38.279999,38.619999,37.630001,38.200001,4230000,38.200001
2015-09-24,37.029999,38.41,36.540001,37.880001,5773400,37.880001
2015-09-23,38.740002,38.91,37.099998,37.27,4375900,37.27
2015-09-22,38.57,39.669998,38.369999,38.630001,5786700,38.630001
2015-09-21,40.02,40.23,39.209999,39.34,4773900,39.34
2015-09-18,41.099998,41.380001,39.369999,39.650002,9030800,39.650002
2015-09-17,43.07,43.779999,41.889999,41.990002,7904400,41.990002
2015-09-16,40.790001,43.169998,40.75,43.040001,9017400,43.040001
2015-09-15,40.290001,41.139999,40.189999,40.43,5185800,40.43
2015-09-14,40.099998,40.52,39.130001,40.240002,5371100,40.240002
2015-09-11,40.279999,40.310001,39.279999,40.200001,6114400,40.200001
2015-09-10,41.50,41.560001,40.150002,40.84,7534700,40.84
2015-09-09,43.720001,44.540001,41.189999,41.290001,6134300,41.290001
2015-09-08,43.110001,43.799999,42.09,43.240002,4783600,43.240002
2015-09-04,42.41,42.799999,41.77,42.50,5170700,42.50
2015-09-03,43.369999,45.110001,42.720001,43.220001,4580400,43.220001
2015-09-02,43.630001,43.860001,41.209999,43.220001,5243100,43.220001
2015-09-01,43.41,44.689999,42.549999,43.130001,5590800,43.130001
2015-08-31,44.09,45.669998,41.919998,45.240002,6928400,45.240002
2015-08-28,42.669998,45.400002,42.490002,44.860001,6492300,44.860001
2015-08-27,40.68,43.669998,40.439999,42.790001,7316100,42.790001
2015-08-26,40.209999,40.209999,38.400002,39.529999,8043000,39.529999
2015-08-25,42.310001,42.310001,38.900002,38.900002,6026400,38.900002
2015-08-24,40.669998,42.439999,39.049999,40.490002,7318800,40.490002
2015-08-21,44.41,45.209999,43.139999,43.23,5279800,43.23
2015-08-20,45.93,46.490002,44.509998,44.560001,5393800,44.560001
2015-08-19,47.599998,47.779999,45.400002,45.810001,4196400,45.810001
2015-08-18,47.650002,48.43,47.34,48.07,2287100,48.07
