Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,28.99,28.99,28.58,28.92,3448800,28.92
2015-10-15,28.65,29.01,28.57,28.889999,2322000,28.889999
2015-10-14,28.620001,28.91,28.26,28.639999,1955200,28.639999
2015-10-13,28.790001,28.98,28.690001,28.690001,1312000,28.690001
2015-10-12,29.040001,29.10,28.799999,28.92,1097400,28.92
2015-10-09,28.83,29.049999,28.700001,29.00,1664300,29.00
2015-10-08,28.49,28.85,28.450001,28.780001,2963400,28.780001
2015-10-07,28.639999,28.74,28.24,28.629999,2210400,28.629999
2015-10-06,28.26,28.610001,28.16,28.450001,2108100,28.450001
2015-10-05,27.969999,28.50,27.83,28.34,2693200,28.34
2015-10-02,27.07,27.690001,26.51,27.68,2433400,27.68
2015-10-01,27.27,27.540001,27.129999,27.379999,3056500,27.379999
2015-09-30,27.09,27.33,26.780001,27.299999,2606800,27.299999
2015-09-29,26.700001,26.959999,26.639999,26.83,2478700,26.83
2015-09-28,27.280001,27.35,26.709999,26.73,3095000,26.73
2015-09-25,27.68,27.92,27.15,27.360001,2739100,27.360001
2015-09-24,27.120001,27.700001,27.01,27.51,2553600,27.51
2015-09-23,27.41,27.51,27.200001,27.33,1566400,27.33
2015-09-22,27.35,27.43,27.049999,27.34,2223300,27.34
2015-09-21,27.73,27.959999,27.57,27.75,2741700,27.75
2015-09-18,27.549999,27.889999,27.049999,27.57,3119200,27.57
2015-09-17,28.08,28.34,27.85,27.950001,1881900,27.950001
2015-09-16,28.129999,28.360001,27.549999,28.219999,2051700,28.219999
2015-09-15,27.690001,28.26,27.620001,28.110001,1984500,28.110001
2015-09-14,27.76,27.85,27.530001,27.74,1862700,27.74
2015-09-11,27.360001,27.84,27.209999,27.719999,2674600,27.719999
2015-09-10,27.370001,27.83,27.280001,27.52,3214200,27.52
2015-09-09,28.139999,28.25,27.33,27.389999,3012100,27.389999
2015-09-08,27.57,28.10,27.309999,28.08,3459500,28.08
2015-09-04,27.040001,27.67,26.85,27.07,3073700,27.07
2015-09-03,27.190001,27.58,27.190001,27.459999,4012200,27.459999
2015-09-02,26.870001,27.200001,26.530001,27.200001,3190500,27.200001
2015-09-01,26.67,26.879999,26.40,26.52,3419900,26.52
2015-08-31,27.07,27.530001,27.01,27.290001,2962400,27.290001
2015-08-28,27.00,27.41,26.99,27.26,3085500,27.26
2015-08-27,26.90,27.190001,26.58,27.129999,2989500,27.129999
2015-08-26,26.219999,26.690001,25.90,26.610001,4624700,26.610001
2015-08-25,26.719999,26.780001,25.540001,25.57,5858600,25.57
2015-08-24,25.719999,26.469999,25.16,26.469999,7839400,26.219999
2015-08-21,28.110001,28.32,27.32,27.33,4432100,27.071878
2015-08-20,29.00,29.00,28.280001,28.299999,2720300,28.032716
2015-08-19,29.370001,29.66,29.110001,29.299999,3306000,29.023271
2015-08-18,29.59,29.66,29.34,29.530001,1730000,29.2511
2015-08-17,29.33,29.690001,28.98,29.639999,1572000,29.36006
2015-08-14,29.26,29.48,29.16,29.379999,1609000,29.102515
2015-08-13,29.41,29.58,29.190001,29.23,1727600,28.953932
2015-08-12,29.15,29.52,28.75,29.459999,2536400,29.18176
2015-08-11,29.309999,29.559999,29.15,29.41,2739000,29.132233
2015-08-10,29.24,29.68,29.15,29.469999,2107700,29.191665
2015-08-07,28.889999,29.190001,28.84,29.08,2743000,28.805349
2015-08-06,28.49,29.469999,28.49,28.92,2761700,28.646861
2015-08-05,29.18,29.540001,29.00,29.200001,2430700,28.924217
2015-08-04,29.01,29.190001,28.92,29.030001,2475500,28.755822
2015-08-03,29.09,29.18,28.700001,28.92,3070200,28.646861
2015-07-31,29.49,29.540001,29.08,29.139999,3443400,28.864782
