Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,50.509998,50.93,50.41,50.880001,818700,50.880001
2015-10-15,50.419998,50.59,49.939999,50.299999,1111700,50.299999
2015-10-14,50.23,50.470001,49.950001,50.09,2485800,50.09
2015-10-13,50.759998,51.040001,50.139999,50.23,1864600,50.23
2015-10-12,50.709999,51.18,50.630001,50.91,1198300,50.91
2015-10-09,50.27,50.93,50.189999,50.830002,1205200,50.830002
2015-10-08,49.68,50.330002,49.599998,50.27,901400,50.27
2015-10-07,48.959999,50.360001,48.869999,49.889999,2593000,49.889999
2015-10-06,49.48,49.68,48.790001,48.830002,1606600,48.830002
2015-10-05,49.360001,49.68,49.290001,49.470001,4175600,49.470001
2015-10-02,48.360001,49.150002,48.049999,49.130001,1573200,49.130001
2015-10-01,48.389999,48.959999,48.389999,48.779999,1813700,48.779999
2015-09-30,48.189999,48.439999,47.939999,48.349998,2428200,48.349998
2015-09-29,47.25,48.119999,46.959999,47.709999,4292300,47.709999
2015-09-28,48.369999,48.50,46.560001,46.82,3647900,46.82
2015-09-25,49.080002,49.209999,48.310001,48.639999,3246700,48.639999
2015-09-24,48.540001,48.810001,48.130001,48.619999,1897100,48.619999
2015-09-23,48.080002,49.099998,48.029999,48.919998,2860500,48.919998
2015-09-22,48.52,48.889999,47.91,48.130001,1408900,48.130001
2015-09-21,48.799999,49.419998,48.759998,48.959999,1381000,48.959999
2015-09-18,48.689999,49.220001,48.389999,48.509998,3436900,48.509998
2015-09-17,49.50,50.029999,48.970001,49.049999,1918100,49.049999
2015-09-16,49.049999,49.880001,49.040001,49.459999,2572200,49.459999
2015-09-15,49.02,49.240002,48.669998,48.709999,2888200,48.709999
2015-09-14,48.639999,49.23,48.639999,49.00,1901900,49.00
2015-09-11,49.110001,49.200001,48.75,49.029999,2264600,49.029999
2015-09-10,48.919998,49.790001,48.740002,49.259998,2820000,49.259998
2015-09-09,51.439999,51.52,49.009998,49.119999,3503200,49.119999
2015-09-08,50.360001,51.27,50.259998,51.18,2609000,51.18
2015-09-04,50.860001,51.259998,49.919998,49.990002,2823700,49.990002
2015-09-03,51.830002,51.830002,51.450001,51.630001,1951700,51.630001
2015-09-02,51.43,51.549999,50.959999,51.540001,2146400,51.540001
2015-09-01,50.529999,51.16,50.00,50.93,3183500,50.65
2015-08-31,52.07,52.07,51.27,51.490002,2464000,51.206922
2015-08-28,51.599998,51.889999,51.27,51.869999,1565100,51.58483
2015-08-27,52.200001,52.43,51.029999,51.849998,2570300,51.56494
2015-08-26,51.32,51.959999,50.799999,51.779999,5399000,51.495325
2015-08-25,51.779999,52.07,50.240002,50.360001,7388200,50.083134
2015-08-24,49.59,51.369999,48.209999,50.599998,6461700,50.321812
2015-08-21,51.84,52.049999,51.560001,51.790001,6220200,51.505272
2015-08-20,52.029999,52.490002,51.93,52.240002,3520500,51.952799
2015-08-19,52.380001,52.860001,52.029999,52.540001,3509900,52.251149
2015-08-18,53.00,53.080002,52.50,52.650002,5426100,52.360545
2015-08-17,52.040001,53.060001,51.869999,53.00,6473600,52.708619
2015-08-14,52.540001,52.68,52.139999,52.490002,2441800,52.201425
2015-08-13,53.369999,53.450001,52.16,52.459999,2311200,52.171587
2015-08-12,51.360001,52.959999,51.060001,52.82,2590400,52.529608
2015-08-11,51.73,52.299999,51.299999,52.189999,3052200,51.903071
2015-08-10,52.27,52.540001,51.860001,52.290001,4162500,52.002523
2015-08-07,53.25,53.25,51.200001,51.709999,6214300,51.42571
2015-08-06,51.779999,53.790001,51.50,53.389999,9458700,53.096474
2015-08-05,51.290001,52.02,50.869999,51.84,4887700,51.554997
2015-08-04,48.810001,50.77,48.66,50.52,8799300,50.242254
2015-08-03,50.880001,50.959999,48.48,48.849998,8431600,48.581433
2015-07-31,49.18,52.299999,49.110001,51.080002,13330400,50.799177
2015-07-30,45.889999,46.27,45.060001,45.439999,2757000,45.190181
2015-07-29,45.389999,46.209999,45.259998,46.200001,2408700,45.946005
2015-07-28,44.970001,45.369999,44.75,45.34,1383900,45.090732
2015-07-27,44.68,45.009998,44.560001,44.689999,1831500,44.444304
2015-07-24,45.290001,45.509998,44.77,44.869999,1118300,44.623315
2015-07-23,45.310001,45.59,45.18,45.41,958500,45.160347
2015-07-22,45.080002,45.720001,45.080002,45.369999,1083700,45.120566
2015-07-21,45.48,45.75,45.200001,45.34,842600,45.090732
2015-07-20,45.560001,45.580002,45.27,45.529999,911300,45.279686
2015-07-17,45.52,45.740002,45.209999,45.490002,1117100,45.239909
2015-07-16,45.639999,45.73,45.439999,45.599998,1269600,45.349301
2015-07-15,45.610001,45.68,45.130001,45.209999,1276900,44.961446
2015-07-14,45.52,45.82,45.34,45.709999,1784000,45.458697
2015-07-13,44.849998,45.509998,44.68,45.419998,1732800,45.17029
2015-07-10,44.490002,44.810001,44.189999,44.43,2628500,44.185735
2015-07-09,44.110001,44.240002,43.830002,43.93,2256800,43.688484
2015-07-08,43.66,43.990002,43.380001,43.41,1897900,43.171342
2015-07-07,42.639999,44.060001,42.529999,43.990002,2499300,43.748155
2015-07-06,42.75,42.98,42.130001,42.470001,2898000,42.236512
2015-07-02,43.48,43.740002,42.93,43.16,1425700,42.922717
2015-07-01,43.889999,43.889999,43.27,43.470001,1947900,43.231014
2015-06-30,43.950001,44.080002,43.169998,43.439999,1825400,43.201176
2015-06-29,44.450001,44.610001,43.619999,43.639999,2357400,43.400077
2015-06-26,44.66,44.939999,44.330002,44.91,1989800,44.663096
2015-06-25,44.540001,44.66,44.349998,44.470001,1571200,44.225516
2015-06-24,44.419998,44.720001,44.369999,44.50,1023300,44.25535
2015-06-23,44.869999,44.93,44.330002,44.549999,1205400,44.305074
2015-06-22,44.950001,45.150002,44.700001,44.790001,1160300,44.543757
2015-06-19,45.049999,45.080002,44.669998,44.740002,2706400,44.494032
2015-06-18,44.41,45.130001,44.290001,45.02,3259600,44.772492
2015-06-17,43.810001,44.34,43.599998,44.32,2644100,44.076339
2015-06-16,43.240002,43.84,43.049999,43.790001,2285800,43.549254
2015-06-15,43.369999,43.560001,43.099998,43.200001,2036300,42.962498
2015-06-12,42.990002,43.75,42.990002,43.650002,5909200,43.410025
2015-06-11,43.290001,43.490002,43.150002,43.220001,1275700,42.982388
2015-06-10,43.060001,43.48,43.009998,43.290001,761600,43.052003
2015-06-09,43.00,43.169998,42.720001,42.93,1100500,42.693982
2015-06-08,43.080002,43.349998,42.84,42.939999,886100,42.703925
2015-06-05,43.66,43.82,43.09,43.220001,1359500,42.982388
2015-06-04,43.91,44.43,43.810001,43.880001,1523800,43.63876
2015-06-03,44.259998,44.540001,44.080002,44.299999,1783700,44.056449
2015-06-02,44.25,44.419998,43.639999,44.389999,4077000,43.867494
2015-06-01,44.27,44.50,44.009998,44.349998,1367000,43.827964
2015-05-29,44.560001,44.68,44.130001,44.23,2205100,43.709378
2015-05-28,44.919998,45.029999,44.43,44.650002,1061600,44.124436
2015-05-27,44.68,45.080002,44.389999,45.029999,1787000,44.49996
2015-05-26,44.799999,44.799999,44.240002,44.389999,2131900,43.867494
2015-05-22,45.25,45.400002,44.759998,44.799999,1589500,44.272668
2015-05-21,46.07,46.099998,45.27,45.290001,2456800,44.756902
2015-05-20,46.209999,46.529999,46.099998,46.25,1587700,45.705601
2015-05-19,46.48,46.560001,45.900002,46.139999,2655100,45.596895
2015-05-18,46.580002,46.700001,46.450001,46.549999,1323900,46.002069
2015-05-15,46.349998,46.57,46.16,46.560001,1338700,46.011954
2015-05-14,45.689999,46.389999,45.68,46.380001,1284600,45.834072
2015-05-13,45.290001,45.689999,45.110001,45.25,1168700,44.717372
2015-05-12,45.220001,45.470001,44.970001,45.360001,1164400,44.826078
2015-05-11,45.860001,46.360001,45.599998,45.650002,2230400,45.112665
2015-05-08,45.75,46.209999,45.66,45.98,1589800,45.438779
2015-05-07,45.110001,45.50,44.93,45.369999,1068800,44.835958
2015-05-06,44.709999,45.139999,44.529999,45.09,1781800,44.559255
2015-05-05,45.580002,45.82,44.540001,44.580002,3041600,44.05526
2015-05-04,45.970001,45.990002,45.549999,45.639999,1883300,45.102781
2015-05-01,44.689999,46.150002,44.259998,46.049999,5047700,45.507955
2015-04-30,44.84,45.860001,44.049999,44.41,2667700,43.887259
2015-04-29,45.240002,45.509998,44.91,44.98,2472500,44.45055
2015-04-28,45.290001,45.549999,45.029999,45.34,2832700,44.806313
2015-04-27,45.490002,45.759998,45.099998,45.200001,3555400,44.667961
2015-04-24,45.220001,45.639999,45.110001,45.400002,1477600,44.865608
2015-04-23,44.84,45.419998,44.740002,45.110001,1354800,44.57902
2015-04-22,44.59,45.07,44.419998,44.990002,1816000,44.460434
2015-04-21,45.139999,45.139999,44.360001,44.41,1829800,43.887259
2015-04-20,45.259998,45.279999,44.900002,45.09,1239800,44.559255
2015-04-17,45.049999,45.34,44.790001,45.09,2151900,44.559255
2015-04-16,45.150002,45.68,45.080002,45.439999,1573300,44.905134
2015-04-15,44.900002,45.23,44.720001,45.209999,1902000,44.677842
2015-04-14,44.970001,45.110001,44.380001,44.689999,2164400,44.163962
2015-04-13,45.459999,45.52,45.110001,45.150002,1651500,44.618551
2015-04-10,46.00,46.139999,45.419998,45.720001,2633200,45.181841
2015-04-09,45.73,46.25,45.700001,46.139999,1579900,45.596895
2015-04-08,45.779999,46.200001,45.509998,45.720001,2115900,45.181841
2015-04-07,45.66,46.029999,45.48,45.759998,1843800,45.221367
2015-04-06,44.689999,45.880001,44.580002,45.700001,2225700,45.162076
2015-04-02,44.369999,44.889999,44.25,44.779999,2957500,44.252903
2015-04-01,44.16,44.48,43.959999,44.470001,1515400,43.946554
2015-03-31,44.549999,44.630001,44.130001,44.200001,1679300,43.679732
2015-03-30,44.150002,44.759998,43.939999,44.709999,1747300,44.183727
2015-03-27,43.610001,44.040001,43.50,44.00,1770000,43.482085
2015-03-26,43.860001,44.02,43.34,43.709999,3134900,43.195498
2015-03-25,44.380001,44.400002,43.790001,44.049999,2953200,43.531496
2015-03-24,44.18,44.419998,43.82,44.060001,3671600,43.541381
2015-03-23,43.25,43.59,43.169998,43.43,1853700,42.918795
2015-03-20,43.099998,43.43,42.889999,43.27,3450100,42.760679
2015-03-19,42.619999,43.02,42.360001,42.799999,2819200,42.29621
2015-03-18,41.720001,42.799999,41.029999,42.650002,4163600,42.147978
2015-03-17,42.080002,42.169998,41.52,41.75,4397200,41.25857
2015-03-16,42.18,42.400002,41.900002,42.400002,2140700,41.90092
2015-03-13,42.57,42.700001,41.630001,41.849998,2694400,41.357391
2015-03-12,42.639999,42.970001,42.490002,42.75,2323100,42.246799
2015-03-11,42.75,42.779999,42.16,42.439999,2202600,41.940447
2015-03-10,43.040001,43.419998,42.75,42.799999,2722400,42.29621
2015-03-09,43.860001,43.869999,43.290001,43.529999,2607600,43.017617
2015-03-06,43.98,44.259998,43.150002,43.639999,3625200,43.126322
2015-03-05,45.099998,45.099998,44.380001,44.389999,2345800,43.867494
2015-03-04,45.360001,45.470001,44.549999,44.849998,2497200,44.322079
2015-03-03,46.27,46.400002,45.849998,45.880001,2485200,45.063253
2015-03-02,46.200001,46.400002,46.080002,46.400002,2888100,45.573997
2015-02-27,46.139999,46.299999,45.869999,46.200001,4115100,45.377557
2015-02-26,45.880001,46.220001,45.700001,46.16,3911900,45.338268
2015-02-25,45.380001,45.91,45.259998,45.849998,3613800,45.033785
2015-02-24,44.939999,45.52,44.860001,45.330002,3231600,44.523045
2015-02-23,44.599998,45.009998,44.41,44.830002,2115500,44.031946
2015-02-20,44.34,44.900002,44.009998,44.709999,2018600,43.91408
2015-02-19,44.310001,44.720001,44.099998,44.470001,2793100,43.678354
2015-02-18,43.639999,44.240002,43.540001,44.189999,4033000,43.403336
2015-02-17,43.540001,44.080002,43.52,43.880001,3125300,43.098857
2015-02-13,44.18,44.209999,43.27,43.689999,4098900,42.912237
2015-02-12,43.919998,44.450001,43.16,44.349998,5060300,43.560488
2015-02-11,43.650002,43.82,42.990002,43.240002,3088400,42.470251
2015-02-10,43.009998,43.939999,42.59,43.650002,3811700,42.872952
2015-02-09,42.400002,42.720001,42.259998,42.380001,2770500,41.62556
2015-02-06,43.119999,43.25,42.259998,42.43,3353600,41.674669
2015-02-05,43.119999,43.299999,43.02,43.189999,1805400,42.421138
2015-02-04,42.900002,43.52,42.68,43.040001,2178600,42.273811
2015-02-03,42.43,43.119999,42.43,43.080002,3379300,42.313099
2015-02-02,42.220001,42.599998,41.830002,42.34,3366900,41.586271
2015-01-30,42.529999,42.970001,42.049999,42.099998,2839000,41.350542
2015-01-29,42.68,43.130001,42.259998,42.939999,2015500,42.175588
2015-01-28,43.41,43.560001,42.610001,42.66,1478600,41.900574
2015-01-27,42.799999,43.349998,42.48,43.200001,1954900,42.430962
2015-01-26,43.139999,43.43,42.57,43.299999,2818000,42.52918
2015-01-23,44.049999,44.09,43.310001,43.349998,1789500,42.57829
2015-01-22,44.169998,44.299999,43.709999,44.139999,2615300,43.354227
2015-01-21,43.259998,44.279999,43.169998,43.93,1617700,43.147966
2015-01-20,43.34,43.66,42.900002,43.41,2654900,42.637223
2015-01-16,42.25,43.130001,42.119999,43.119999,2761400,42.352384
2015-01-15,43.669998,43.77,42.049999,42.259998,4846700,41.507693
2015-01-14,42.66,43.43,42.459999,43.299999,2032400,42.52918
2015-01-13,43.610001,43.799999,42.650002,43.110001,2393300,42.342564
2015-01-12,43.75,43.93,43.259998,43.419998,1267400,42.647043
2015-01-09,44.07,44.23,43.669998,43.77,1183500,42.990815
2015-01-08,44.200001,44.59,43.959999,44.07,2607800,43.285473
2015-01-07,43.459999,43.959999,43.189999,43.68,2540300,42.902417
2015-01-06,44.279999,44.43,42.720001,43.02,2604200,42.254166
2015-01-05,44.150002,44.880001,44.00,44.220001,2695100,43.432805
2015-01-02,44.25,44.32,43.59,43.880001,1641400,43.098857
2014-12-31,44.869999,44.990002,44.169998,44.220001,1326800,43.432805
2014-12-30,45.27,45.490002,44.82,44.849998,990700,44.051587
2014-12-29,45.029999,45.509998,44.869999,45.349998,842900,44.542686
2014-12-26,45.189999,45.470001,45.119999,45.16,643200,44.35607
2014-12-24,45.400002,45.57,45.09,45.099998,525700,44.297136
2014-12-23,44.849998,45.380001,44.849998,45.330002,1355900,44.523045
2014-12-22,45.009998,45.099998,44.490002,44.650002,2112700,43.85515
2014-12-19,44.540001,45.16,44.419998,44.799999,4073800,44.002478
2014-12-18,43.18,44.41,43.029999,44.290001,3679800,43.501558
2014-12-17,41.900002,42.869999,41.77,42.75,1918600,41.988972
2014-12-16,42.119999,42.970001,41.830002,41.860001,2068000,41.114816
2014-12-15,43.23,43.419998,42.259998,42.360001,2399400,41.605915
2014-12-12,43.880001,44.16,43.150002,43.169998,2375100,42.401494
2014-12-11,43.73,44.619999,43.529999,44.279999,3182400,43.491734
2014-12-10,43.619999,43.889999,43.50,43.740002,2453300,42.96135
2014-12-09,43.18,43.810001,43.150002,43.73,1970500,42.951526
2014-12-08,44.119999,44.18,43.439999,43.580002,2265300,42.804198
2014-12-05,43.59,44.27,43.560001,44.200001,2452600,43.41316
2014-12-04,43.810001,44.049999,43.540001,43.630001,1815500,42.853308
2014-12-03,44.599998,44.700001,43.360001,43.900002,3896100,43.118502
2014-12-02,43.490002,44.560001,43.439999,44.529999,2900400,43.737284
2014-12-01,43.630001,44.029999,43.50,43.509998,1700300,42.735441
2014-11-28,43.889999,44.119999,43.73,43.939999,761800,43.157787
2014-11-26,43.950001,44.099998,43.68,43.799999,983700,43.020279
2014-11-25,43.98,44.220001,43.849998,43.869999,2154100,43.089033
2014-11-24,43.73,44.330002,43.73,43.849998,2299400,43.069389
2014-11-21,44.450001,44.450001,43.630001,43.720001,2418500,42.941706
2014-11-20,43.400002,44.549999,43.34,43.970001,3717400,43.187255
2014-11-19,43.27,43.650002,43.209999,43.57,2453700,42.794374
2014-11-18,43.279999,43.799999,43.080002,43.630001,2435400,42.607758
2014-11-17,42.389999,43.310001,42.279999,43.25,1592800,42.236661
2014-11-14,42.619999,42.709999,42.040001,42.290001,1362500,41.299154
2014-11-13,42.939999,43.110001,42.450001,42.73,882600,41.728844
2014-11-12,42.400002,42.959999,42.16,42.860001,1349100,41.855799
2014-11-11,42.75,42.849998,42.43,42.549999,1313900,41.553061
2014-11-10,42.720001,42.810001,42.389999,42.619999,1043800,41.62142
2014-11-07,42.810001,42.98,42.509998,42.720001,1530000,41.71908
2014-11-06,42.299999,42.959999,42.130001,42.860001,1954900,41.855799
2014-11-05,43.060001,43.060001,42.00,42.189999,2286500,41.201495
2014-11-04,42.93,42.93,42.27,42.490002,1966900,41.494469
2014-11-03,43.400002,43.52,42.84,42.959999,1640300,41.953454
2014-10-31,43.369999,43.68,43.130001,43.349998,1982200,42.334316
2014-10-30,42.959999,43.34,42.810001,43.130001,1441400,42.119473
2014-10-29,43.27,43.369999,42.709999,43.00,1485600,41.992518
2014-10-28,42.650002,43.32,42.419998,43.310001,1916600,42.295256
2014-10-27,42.16,42.68,41.93,42.380001,2528400,41.387046
2014-10-24,42.310001,42.580002,41.529999,42.380001,2818600,41.387046
2014-10-23,42.41,43.360001,42.080002,42.200001,4602800,41.211263
2014-10-22,41.630001,41.860001,41.110001,41.32,3832500,40.35188
2014-10-21,41.57,41.970001,41.389999,41.650002,2726800,40.67415
2014-10-20,41.049999,42.110001,40.959999,41.91,2548300,40.928056
2014-10-17,40.389999,41.369999,40.200001,41.110001,2238200,40.146801
2014-10-16,39.259998,40.400002,39.049999,40.009998,4718800,39.072572
2014-10-15,40.00,40.23,39.220001,40.009998,4338300,39.072572
2014-10-14,40.48,40.740002,39.93,40.490002,5900800,39.541329
2014-10-13,41.59,41.619999,40.400002,40.439999,2809400,39.492497
2014-10-10,42.040001,42.220001,41.529999,41.540001,3206900,40.566727
2014-10-09,43.330002,43.459999,41.990002,42.040001,2587900,41.055012
2014-10-08,42.610001,43.360001,42.43,43.330002,3696100,42.314788
2014-10-07,43.630001,43.689999,42.50,42.549999,3844900,41.553061
2014-10-06,44.630001,44.849998,43.66,43.84,1585600,42.812837
2014-10-03,43.669998,44.200001,43.43,44.080002,3247200,43.047216
2014-10-02,43.610001,43.84,43.220001,43.619999,2641300,42.597991
2014-10-01,44.369999,44.459999,43.580002,43.77,3392700,42.744478
2014-09-30,45.040001,45.18,44.349998,44.360001,3216400,43.320654
2014-09-29,44.880001,45.200001,44.709999,45.110001,1177200,44.053082
2014-09-26,45.009998,45.32,44.66,45.279999,1729400,44.219097
2014-09-25,45.52,45.549999,44.869999,45.00,1342000,43.945659
2014-09-24,45.200001,45.82,45.099998,45.779999,1377400,44.707382
2014-09-23,45.880001,45.919998,45.029999,45.060001,2443800,44.004254
2014-09-22,46.119999,46.240002,45.970001,46.119999,1873100,45.039416
2014-09-19,46.040001,46.380001,45.779999,46.27,3562200,45.185903
2014-09-18,46.16,46.25,45.669998,45.720001,1903100,44.64879
2014-09-17,45.57,46.07,45.400002,45.880001,2387100,44.805041
2014-09-16,45.27,45.560001,44.900002,45.52,2883800,44.453475
2014-09-15,45.419998,45.419998,44.860001,45.200001,1812100,44.140973
2014-09-12,45.810001,45.860001,45.139999,45.189999,1582900,44.131205
2014-09-11,45.73,46.029999,45.59,45.93,1620800,44.853869
2014-09-10,46.02,46.139999,45.669998,45.790001,1972600,44.71715
2014-09-09,46.349998,46.419998,46.02,46.080002,1307700,45.000356
2014-09-08,46.91,47.060001,46.349998,46.540001,1087700,45.449577
2014-09-05,46.41,47.029999,46.169998,47.029999,1282700,45.928095
2014-09-04,47.790001,47.790001,46.25,46.369999,3447300,45.283559
2014-09-03,46.57,47.869999,46.50,47.849998,2099800,46.728882
2014-09-02,47.84,48.040001,47.110001,47.220001,1842000,45.869502
2014-08-29,47.580002,47.82,47.419998,47.779999,1150900,46.413483
2014-08-28,47.57,47.849998,47.450001,47.599998,752100,46.238631
2014-08-27,47.459999,47.720001,47.310001,47.709999,859000,46.345486
2014-08-26,47.50,47.93,47.400002,47.50,830500,46.141493
2014-08-25,47.32,47.50,47.139999,47.380001,1603300,46.024926
2014-08-22,47.540001,47.689999,47.07,47.099998,1169300,45.752931
2014-08-21,47.66,47.849998,47.549999,47.57,951000,46.20949
2014-08-20,48.27,48.50,47.619999,47.689999,1472700,46.326057
2014-08-19,47.82,50.00,47.77,48.330002,2252600,46.947756
2014-08-18,47.650002,48.07,47.580002,47.84,1377000,46.471769
2014-08-15,47.25,48.040001,47.130001,47.48,1449200,46.122064
2014-08-14,46.849998,47.169998,46.799999,47.139999,1590500,45.791788
2014-08-13,46.290001,46.889999,46.220001,46.849998,1929900,45.510081
2014-08-12,46.099998,46.25,45.860001,46.169998,1005400,44.849529
2014-08-11,46.060001,46.450001,46.009998,46.16,1199900,44.839817
2014-08-08,45.299999,46.040001,45.09,46.00,1748000,44.684393
2014-08-07,45.540001,45.650002,45.049999,45.209999,1588300,43.916986
2014-08-06,44.59,45.439999,44.52,45.400002,2273200,44.101554
2014-08-05,44.959999,45.240002,44.459999,44.689999,1795000,43.411858
2014-08-04,45.400002,45.50,44.91,45.009998,2070900,43.722705
2014-08-01,45.450001,45.509998,45.119999,45.310001,2314000,44.014128
2014-07-31,46.52,46.52,45.349998,45.450001,2835300,44.150124
2014-07-30,47.950001,47.950001,46.68,46.700001,2514400,45.364373
2014-07-29,47.889999,48.09,47.610001,47.709999,1688900,46.345486
2014-07-28,48.060001,48.150002,47.52,47.73,1996700,46.364914
2014-07-25,48.810001,48.93,48.00,48.049999,2208700,46.675762
2014-07-24,48.75,49.169998,48.509998,48.799999,2317400,47.404312
2014-07-23,48.599998,48.82,48.459999,48.759998,3213100,47.365455
2014-07-22,48.490002,48.779999,48.27,48.439999,2896200,47.054607
2014-07-21,48.740002,48.75,48.200001,48.50,1439000,47.112892
2014-07-18,48.50,48.880001,48.310001,48.77,2610900,47.375171
2014-07-17,48.41,48.869999,48.290001,48.380001,2414800,46.996325
2014-07-16,48.419998,48.529999,48.23,48.450001,1742700,47.064323
2014-07-15,48.400002,48.599998,48.009998,48.220001,1935200,46.840902
2014-07-14,48.50,48.619999,48.34,48.459999,2053000,47.074036
2014-07-11,48.330002,48.689999,48.049999,48.34,2670400,46.957469
2014-07-10,47.509998,48.599998,47.450001,48.459999,2574600,47.074036
2014-07-09,47.73,48.119999,47.73,47.939999,1914100,46.568907
2014-07-08,48.00,48.07,47.360001,47.599998,1844000,46.238631
2014-07-07,47.98,48.330002,47.779999,48.189999,1729200,46.811757
2014-07-03,47.93,48.169998,47.900002,47.950001,1509100,46.578623
2014-07-02,48.02,48.43,47.889999,48.040001,1496000,46.666049
2014-07-01,48.00,48.049999,47.349998,47.93,4546100,46.559195
2014-06-30,47.869999,48.060001,47.59,47.779999,5479100,46.413483
2014-06-27,47.529999,48.130001,47.509998,47.919998,4285800,46.549479
2014-06-26,47.470001,47.779999,47.209999,47.639999,1611200,46.277488
2014-06-25,47.049999,47.560001,46.900002,47.549999,1861900,46.190062
2014-06-24,47.41,47.41,47.00,47.09,1584400,45.743219
2014-06-23,47.630001,47.799999,47.369999,47.580002,1787000,46.219206
2014-06-20,47.619999,47.779999,47.27,47.619999,3460600,46.25806
2014-06-19,45.919998,47.610001,45.900002,47.529999,7581400,46.170633
2014-06-18,45.220001,46.080002,45.00,45.939999,9175900,44.626107
2014-06-17,44.709999,45.209999,44.610001,45.18,2020900,43.887845
2014-06-16,44.330002,44.790001,43.959999,44.720001,1970800,43.441002
2014-06-13,44.630001,44.779999,44.299999,44.580002,2215200,43.305007
2014-06-12,44.759998,45.150002,44.68,44.759998,1381300,43.479855
2014-06-11,45.200001,45.349998,44.740002,44.759998,2924100,43.479855
2014-06-10,45.50,45.669998,45.139999,45.27,2645200,43.975271
2014-06-09,45.650002,45.91,45.490002,45.779999,1301200,44.470684
2014-06-06,45.209999,45.73,45.09,45.66,1442900,44.354117
2014-06-05,46.139999,46.139999,44.799999,45.099998,3620500,43.810131
2014-06-04,45.459999,46.099998,45.459999,45.950001,1963400,44.635824
2014-06-03,45.529999,45.889999,45.23,45.669998,2241100,44.120978
2014-06-02,45.68,46.049999,45.400002,45.66,3166900,44.111319
2014-05-30,45.860001,45.880001,45.52,45.639999,2484200,44.091997
2014-05-29,46.139999,46.169998,45.68,45.970001,2173100,44.410806
2014-05-28,45.32,45.919998,45.32,45.849998,3268700,44.294874
2014-05-27,45.93,46.110001,45.279999,45.299999,3427300,43.763529
