Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,56.900002,57.27,56.66,57.27,5845700,57.27
2015-10-15,56.790001,56.790001,56.080002,56.700001,5426900,56.700001
2015-10-14,55.900002,56.77,55.540001,56.400002,5491700,56.400002
2015-10-13,55.150002,55.970001,55.130001,55.759998,4468800,55.759998
2015-10-12,55.959999,56.139999,55.459999,55.66,4521300,55.66
2015-10-09,56.41,56.419998,55.720001,56.18,5364100,56.18
2015-10-08,55.34,56.709999,55.259998,56.130001,7084200,56.130001
2015-10-07,55.330002,55.73,54.540001,55.380001,10442500,55.380001
2015-10-06,54.970001,57.959999,54.779999,55.209999,40317600,55.209999
2015-10-05,49.66,51.419998,49.529999,51.279999,7501600,51.279999
2015-10-02,47.73,49.27,47.43,49.259998,4566500,49.259998
2015-10-01,48.439999,48.50,47.779999,48.349998,4661800,48.349998
2015-09-30,48.119999,48.639999,47.860001,48.200001,5375800,48.200001
2015-09-29,47.16,47.900002,47.110001,47.50,4708200,47.50
2015-09-28,48.110001,48.509998,47.209999,47.32,6666700,47.32
2015-09-25,48.330002,48.849998,48.139999,48.549999,5993500,48.549999
2015-09-24,47.57,48.259998,47.439999,48.029999,7087300,48.029999
2015-09-23,48.450001,48.77,47.860001,47.91,5313300,47.91
2015-09-22,48.259998,48.779999,47.759998,48.57,8788300,48.57
2015-09-21,47.610001,48.32,47.529999,48.240002,5385100,48.240002
2015-09-18,47.580002,48.060001,47.369999,47.529999,9630000,47.529999
2015-09-17,48.369999,48.959999,47.970001,48.080002,5884600,48.080002
2015-09-16,48.290001,48.57,48.189999,48.41,4792600,48.41
2015-09-15,48.029999,48.48,47.880001,48.299999,4331800,48.299999
2015-09-14,48.59,48.59,47.900002,47.98,6217600,47.98
2015-09-11,48.43,48.549999,48.09,48.439999,6486800,48.439999
2015-09-10,48.560001,49.009998,48.279999,48.619999,7180500,48.619999
2015-09-09,50.18,50.349998,48.77,48.84,7038500,48.84
2015-09-08,49.459999,49.740002,49.25,49.610001,6285700,49.610001
2015-09-04,49.740002,49.939999,48.59,48.599998,8772200,48.599998
2015-09-03,50.990002,51.580002,50.509998,50.560001,7636400,50.560001
2015-09-02,50.77,50.93,50.060001,50.650002,4847100,50.650002
2015-09-01,50.16,50.77,49.779999,50.02,6544000,50.02
2015-08-31,51.200001,51.799999,50.66,51.50,4652800,51.50
2015-08-28,51.540001,52.240002,51.450001,51.84,6008700,51.84
2015-08-27,51.360001,52.119999,50.849998,52.02,6225400,52.02
2015-08-26,50.049999,50.689999,49.290001,50.66,9769300,50.66
2015-08-25,50.950001,51.029999,49.009998,49.060001,10839300,49.060001
2015-08-24,49.369999,51.189999,48.009998,49.98,13763800,49.98
2015-08-21,52.299999,52.52,51.720001,52.00,8010300,52.00
2015-08-20,52.759998,52.860001,52.389999,52.41,6080000,52.41
2015-08-19,53.509998,53.900002,52.900002,53.150002,4547500,53.150002
2015-08-18,53.990002,54.41,53.75,53.900002,4309700,53.900002
2015-08-17,53.549999,54.509998,53.34,54.27,5133500,54.27
2015-08-14,53.75,54.200001,53.130001,53.860001,5602500,53.860001
2015-08-13,53.139999,53.389999,52.830002,53.029999,4279700,53.029999
2015-08-12,52.75,53.279999,52.360001,53.279999,6037000,53.279999
2015-08-11,53.950001,54.400002,53.349998,53.389999,5373500,53.009999
2015-08-10,53.82,54.459999,53.50,54.389999,5621200,54.002881
2015-08-07,54.43,54.57,53.209999,53.43,4901700,53.049715
2015-08-06,54.50,54.68,54.169998,54.470001,5452400,54.082314
2015-08-05,55.470001,55.619999,54.290001,54.57,4783100,54.1816
2015-08-04,55.23,55.48,54.470001,54.639999,4851800,54.251102
2015-08-03,55.880001,56.00,54.880001,55.290001,4822900,54.896477
2015-07-31,55.950001,56.110001,55.48,55.759998,4804100,55.363129
2015-07-30,55.369999,55.75,55.16,55.59,3596000,55.194341
2015-07-29,56.029999,56.439999,55.25,55.459999,6331000,55.065265
2015-07-28,53.380001,57.25,52.790001,55.900002,13935600,55.502136
2015-07-27,56.830002,57.060001,56.259998,56.73,6172200,56.326227
