Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,69.559998,70.00,69.080002,69.300003,1619500,69.300003
2015-10-15,68.18,69.199997,67.690002,69.080002,1094400,69.080002
2015-10-14,68.150002,68.57,67.669998,67.919998,1083200,67.919998
2015-10-13,68.18,68.620003,67.839996,68.099998,1334500,68.099998
2015-10-12,67.730003,69.059998,67.230003,68.279999,948500,68.279999
2015-10-09,67.699997,67.959999,67.25,67.559998,1364700,67.559998
2015-10-08,66.75,68.220001,66.239998,67.669998,1426200,67.669998
2015-10-07,66.120003,66.779999,66.099998,66.779999,1570300,66.779999
2015-10-06,66.800003,66.989998,65.639999,66.110001,1230700,66.110001
2015-10-05,66.18,67.190002,65.739998,66.970001,1117100,66.970001
2015-10-02,64.919998,65.93,64.410004,65.889999,1396800,65.889999
2015-10-01,65.160004,65.260002,63.900002,64.410004,1230600,64.410004
2015-09-30,64.519997,65.139999,64.25,65.099998,1376200,65.099998
2015-09-29,64.139999,64.959999,63.93,64.330002,811600,64.330002
2015-09-28,64.32,65.07,64.00,64.059998,1057100,64.059998
2015-09-25,63.580002,65.25,63.299999,64.589996,1640300,64.589996
2015-09-24,62.389999,63.740002,62.299999,63.59,1623900,63.59
2015-09-23,64.040001,64.040001,63.119999,63.540001,1444300,63.540001
2015-09-22,64.410004,64.629997,63.689999,64.040001,1942700,64.040001
2015-09-21,64.370003,64.790001,63.810001,63.93,1220300,63.93
2015-09-18,63.91,64.860001,63.759998,64.25,1950800,64.25
2015-09-17,63.93,65.459999,63.799999,64.419998,1042400,64.419998
2015-09-16,63.360001,64.489998,63.23,63.950001,1516600,63.950001
2015-09-15,62.919998,63.41,62.549999,63.23,1257600,63.23
2015-09-14,62.68,63.279999,62.549999,62.830002,1175900,62.830002
2015-09-11,61.75,62.700001,61.57,62.68,1184900,62.68
2015-09-10,61.830002,62.77,61.759998,62.029999,1781000,62.029999
2015-09-09,62.779999,62.869999,61.75,61.889999,1288200,61.889999
2015-09-08,62.27,62.73,61.849998,62.389999,1983300,62.389999
2015-09-04,62.48,62.509998,61.27,61.529999,1497100,61.529999
2015-09-03,62.810001,63.41,62.619999,62.990002,1107500,62.990002
2015-09-02,63.759998,63.82,62.450001,62.759998,1291200,62.759998
2015-09-01,64.459999,64.459999,62.66,63.060001,1639600,63.060001
2015-08-31,65.620003,65.639999,64.43,65.330002,1704800,65.330002
2015-08-28,65.779999,66.269997,65.07,65.900002,1709400,65.900002
2015-08-27,64.480003,65.910004,64.480003,65.809998,2232200,65.809998
2015-08-26,64.349998,64.519997,63.200001,64.290001,2088100,64.290001
2015-08-25,66.419998,67.220001,63.599998,63.599998,2305900,63.599998
2015-08-24,67.400002,69.480003,65.540001,65.900002,2487600,65.900002
2015-08-21,70.339996,70.860001,69.389999,69.389999,1548100,69.389999
2015-08-20,70.370003,71.559998,70.110001,70.559998,1168100,70.559998
2015-08-19,70.260002,71.139999,70.110001,70.870003,1021100,70.870003
2015-08-18,70.43,71.019997,70.230003,70.620003,1330800,70.620003
2015-08-17,70.080002,70.910004,69.910004,70.660004,1614300,70.660004
2015-08-14,69.599998,70.199997,69.449997,70.099998,1531300,70.099998
2015-08-13,70.010002,70.059998,69.080002,69.790001,1243400,69.790001
2015-08-12,68.629997,70.220001,68.50,70.010002,1883800,70.010002
2015-08-11,68.32,69.529999,68.25,68.940002,1904200,68.940002
2015-08-10,70.32,70.709999,68.550003,68.910004,1879400,68.080006
2015-08-07,69.379997,70.870003,68.860001,70.260002,1381400,69.413744
2015-08-06,67.860001,69.489998,67.230003,69.440002,1771600,68.603621
2015-08-05,68.580002,68.589996,67.75,67.879997,2976800,67.062405
2015-08-04,70.00,70.599998,68.230003,68.580002,2829100,67.753978
2015-08-03,71.25,71.559998,70.889999,71.199997,1603400,70.342417
2015-07-31,70.889999,71.50,70.889999,71.019997,1187900,70.164584
2015-07-30,69.900002,71.089996,69.720001,70.360001,1026700,69.512538
2015-07-29,69.830002,70.220001,69.43,70.110001,1184700,69.265549
2015-07-28,69.75,70.470001,69.550003,69.980003,1456100,69.137117
2015-07-27,69.25,70.800003,69.25,70.400002,1111100,69.552057
2015-07-24,69.779999,69.889999,69.150002,69.209999,921700,68.376388
2015-07-23,70.690002,70.790001,69.150002,69.699997,1705500,68.860484
2015-07-22,71.339996,71.800003,70.870003,71.00,1423100,70.144829
2015-07-21,72.220001,72.389999,70.93,71.300003,1038600,70.441218
2015-07-20,72.339996,72.43,71.629997,72.279999,905400,71.40941
2015-07-17,73.120003,73.120003,72.309998,72.370003,866800,71.49833
2015-07-16,72.360001,73.440002,72.360001,72.970001,1483000,72.091102
2015-07-15,72.440002,72.519997,71.739998,72.25,1536800,71.379773
2015-07-14,72.260002,72.860001,71.989998,72.290001,1296900,71.419292
2015-07-13,72.82,72.989998,72.019997,72.25,839300,71.379773
2015-07-10,72.489998,73.160004,72.110001,72.489998,949500,71.61688
2015-07-09,73.470001,73.730003,72.370003,72.519997,1266200,71.646517
2015-07-08,73.32,74.089996,73.139999,73.300003,1732000,72.417129
2015-07-07,72.760002,74.00,72.669998,73.610001,2686300,72.723393
2015-07-06,71.739998,72.470001,71.480003,72.470001,1420900,71.597124
2015-07-02,72.239998,72.669998,71.57,71.879997,1394100,71.014227
2015-07-01,70.660004,71.50,70.480003,71.449997,2328000,70.589405
2015-06-30,70.300003,71.410004,69.989998,70.50,4553900,69.650851
2015-06-29,70.550003,71.190002,69.839996,69.949997,1354900,69.107472
2015-06-26,69.389999,70.629997,69.059998,70.510002,1986700,69.660733
2015-06-25,70.519997,70.529999,69.459999,69.470001,786100,68.633258
2015-06-24,70.849998,71.18,70.50,70.510002,1194500,69.660733
2015-06-23,71.459999,71.580002,70.540001,70.779999,1066100,69.927477
2015-06-22,71.82,71.900002,71.25,71.50,845700,70.638806
2015-06-19,71.639999,72.230003,71.459999,71.57,1494100,70.707963
2015-06-18,71.32,72.360001,71.32,72.040001,1953400,71.172303
2015-06-17,70.769997,71.620003,70.419998,71.190002,1584600,70.332542
2015-06-16,70.879997,71.190002,70.440002,70.830002,782800,69.976878
2015-06-15,70.489998,71.00,70.120003,70.949997,1475800,70.095428
2015-06-12,71.160004,71.580002,70.699997,70.709999,903400,69.858321
2015-06-11,71.199997,71.75,70.720001,71.419998,1744100,70.559768
2015-06-10,71.330002,71.739998,70.639999,70.709999,2708900,69.858321
2015-06-09,72.629997,72.629997,70.879997,70.900002,1459400,70.046035
2015-06-08,72.239998,72.589996,71.959999,71.980003,1063700,71.113028
2015-06-05,73.040001,73.040001,71.93,72.120003,1235100,71.251341
2015-06-04,73.510002,74.480003,73.389999,73.760002,1028200,72.871587
2015-06-03,74.839996,75.209999,73.370003,73.830002,2053100,72.940744
2015-06-02,75.910004,76.309998,74.580002,75.110001,1422800,74.205326
2015-06-01,76.540001,77.160004,76.43,76.580002,1128800,75.657621
2015-05-29,76.550003,77.080002,76.290001,76.470001,1077900,75.548945
2015-05-28,76.239998,76.82,75.93,76.550003,1068500,75.627984
2015-05-27,75.699997,76.559998,75.550003,76.410004,1134100,75.489671
2015-05-26,76.080002,76.300003,74.949997,75.480003,1278400,74.570872
2015-05-22,75.919998,76.279999,75.379997,76.040001,659300,75.124124
2015-05-21,76.080002,76.400002,75.660004,76.120003,830600,75.203163
2015-05-20,76.110001,76.610001,75.779999,76.040001,1107500,75.124124
2015-05-19,75.029999,76.269997,74.75,76.209999,1161000,75.292075
2015-05-18,74.620003,75.389999,74.580002,75.279999,733800,74.373276
2015-05-15,74.489998,75.300003,74.339996,74.980003,1501400,74.076894
2015-05-14,74.059998,74.650002,73.900002,74.230003,1156100,73.335928
2015-05-13,74.57,75.220001,73.50,73.760002,1585400,72.871587
2015-05-12,75.010002,75.139999,73.949997,74.230003,1779900,73.335928
2015-05-11,76.400002,76.730003,76.010002,76.089996,1859700,74.353514
2015-05-08,77.139999,77.589996,75.989998,76.400002,1279700,74.656445
2015-05-07,76.209999,76.949997,75.769997,76.470001,1139200,74.724847
2015-05-06,75.610001,76.230003,74.879997,75.779999,1390900,74.050591
2015-05-05,77.449997,77.919998,75.43,75.550003,1284700,73.825844
2015-05-04,77.18,78.459999,77.00,77.82,905900,76.044036
2015-05-01,77.199997,77.419998,76.589996,77.190002,894400,75.428416
2015-04-30,78.339996,78.339996,76.639999,77.18,1249800,75.418643
2015-04-29,77.610001,78.690002,76.769997,78.400002,1867300,76.610802
2015-04-28,77.93,79.220001,77.580002,79.019997,1365600,77.216648
2015-04-27,79.410004,79.410004,77.809998,78.139999,1114100,76.356733
2015-04-24,78.489998,79.839996,78.099998,79.139999,1407500,77.333912
2015-04-23,77.860001,79.220001,77.68,78.57,941200,76.77692
2015-04-22,78.230003,78.360001,77.110001,77.870003,957600,76.092898
2015-04-21,78.43,79.099998,77.870003,78.059998,1194700,76.278557
2015-04-20,77.57,78.940002,77.529999,78.360001,862200,76.571714
2015-04-17,77.07,77.839996,77.019997,77.290001,1118100,75.526133
2015-04-16,77.730003,77.949997,76.68,77.360001,849000,75.594535
2015-04-15,77.779999,78.769997,77.779999,77.809998,638000,76.034262
2015-04-14,77.550003,78.07,77.169998,77.779999,604800,76.004948
2015-04-13,77.690002,78.099998,77.220001,77.279999,566600,75.516359
2015-04-10,77.419998,78.389999,77.099998,78.089996,594400,76.307871
2015-04-09,77.779999,78.169998,76.690002,77.010002,1130100,75.252524
2015-04-08,78.019997,78.199997,77.080002,77.959999,1040800,76.180841
2015-04-07,79.410004,79.43,78.019997,78.110001,832100,76.327419
2015-04-06,77.919998,79.459999,77.919998,79.410004,1134500,77.597754
2015-04-02,77.57,78.080002,77.279999,77.669998,841400,75.897458
2015-04-01,77.309998,77.830002,76.25,77.690002,951800,75.917006
2015-03-31,77.330002,78.080002,76.790001,77.489998,1307900,75.721566
2015-03-30,76.870003,77.889999,76.370003,77.309998,1193500,75.545673
2015-03-27,76.459999,77.239998,76.25,76.68,826000,74.930053
2015-03-26,76.550003,77.349998,75.900002,76.519997,963400,74.773701
2015-03-25,77.690002,78.139999,76.879997,76.940002,1373000,75.184122
2015-03-24,78.18,78.68,77.169998,77.290001,1219600,75.526133
2015-03-23,78.989998,79.150002,78.269997,78.489998,1214800,76.698744
2015-03-20,78.300003,79.360001,78.040001,79.050003,3037000,77.245969
2015-03-19,77.949997,78.949997,77.669998,77.940002,2430000,76.1613
2015-03-18,75.839996,78.650002,75.669998,78.139999,1295400,76.356733
2015-03-17,75.699997,76.360001,75.57,75.970001,929600,74.236257
2015-03-16,74.989998,76.650002,74.989998,76.00,1076300,74.265572
2015-03-13,75.739998,75.800003,73.879997,74.650002,1916500,72.946382
2015-03-12,75.120003,76.690002,75.120003,76.260002,1207800,74.51964
2015-03-11,75.709999,75.709999,74.410004,74.690002,1108300,72.98547
2015-03-10,74.43,75.889999,74.349998,75.480003,1645000,73.757442
2015-03-09,74.839996,75.32,74.459999,74.699997,1031700,72.995236
2015-03-06,76.099998,76.099998,74.300003,74.669998,1245100,72.965922
2015-03-05,76.839996,77.309998,76.620003,77.019997,845100,75.26229
2015-03-04,76.900002,77.279999,76.010002,76.50,1146700,74.754161
2015-03-03,77.550003,77.779999,76.720001,77.480003,1067700,75.711799
2015-03-02,79.18,79.389999,76.839996,77.669998,2070300,75.897458
2015-02-27,79.25,79.57,78.510002,79.510002,1509500,77.69547
2015-02-26,79.709999,79.830002,78.949997,79.199997,1028100,77.39254
2015-02-25,80.169998,80.809998,79.169998,79.379997,1208600,77.568432
2015-02-24,80.25,81.07,79.870003,80.459999,1370600,78.623787
2015-02-23,79.709999,80.300003,79.339996,80.279999,999900,78.447895
2015-02-20,79.68,79.830002,78.50,79.32,1160600,77.509804
2015-02-19,80.440002,80.800003,79.449997,79.760002,812200,77.939765
2015-02-18,78.900002,80.370003,78.529999,80.260002,1303500,78.428354
2015-02-17,79.080002,79.839996,78.150002,78.860001,1516700,77.060303
2015-02-13,80.160004,80.25,78.349998,79.120003,2087300,77.314371
2015-02-12,81.080002,81.279999,80.260002,80.650002,1509800,78.809453
2015-02-11,81.800003,81.809998,80.480003,80.959999,1725000,79.112376
2015-02-10,80.669998,81.889999,80.589996,81.839996,2476500,79.972291
2015-02-09,82.540001,83.139999,81.029999,81.300003,2099000,78.63356
2015-02-06,86.150002,86.370003,81.989998,82.410004,2842400,79.707155
2015-02-05,87.480003,88.129997,85.599998,86.519997,2212500,83.682351
2015-02-04,89.059998,89.25,87.160004,87.470001,1581800,84.601197
2015-02-03,88.209999,89.519997,87.470001,89.419998,1757500,86.487239
2015-02-02,87.559998,88.57,86.779999,88.150002,1542300,85.258895
2015-01-30,89.57,89.790001,87.43,87.510002,1281400,84.639886
2015-01-29,88.669998,90.059998,88.269997,89.900002,1201000,86.951499
2015-01-28,88.449997,90.120003,88.449997,88.93,2028600,86.013312
2015-01-27,88.889999,89.269997,88.339996,88.440002,1145700,85.539385
2015-01-26,89.489998,89.720001,88.400002,88.830002,1217200,85.916593
2015-01-23,89.669998,89.879997,89.220001,89.599998,1254200,86.661336
2015-01-22,90.040001,90.330002,88.709999,89.419998,1503900,86.487239
2015-01-21,88.470001,89.760002,87.93,89.68,957600,86.738714
2015-01-20,89.099998,89.559998,87.940002,88.699997,1196500,85.790852
2015-01-16,88.550003,89.00,88.00,88.669998,1295700,85.761837
2015-01-15,87.150002,88.639999,87.00,88.489998,1482400,85.587741
2015-01-14,85.599998,87.199997,85.169998,87.150002,1521300,84.291693
2015-01-13,87.519997,88.629997,85.709999,86.040001,2595400,83.218098
2015-01-12,88.129997,88.220001,86.550003,87.040001,1114700,84.1853
2015-01-09,88.510002,88.889999,86.879997,87.790001,1468100,84.910702
2015-01-08,87.940002,88.730003,87.800003,88.290001,1018500,85.394303
2015-01-07,87.019997,88.309998,86.669998,87.769997,1094200,84.891354
2015-01-06,87.110001,88.75,86.830002,86.889999,1838000,84.040218
2015-01-05,87.809998,88.260002,86.559998,87.050003,1661100,84.194974
2015-01-02,87.480003,88.099998,86.660004,87.709999,1944800,84.833324
2014-12-31,90.260002,90.559998,87.400002,87.480003,1564300,84.610871
2014-12-30,91.169998,91.169998,89.68,89.93,1141700,86.980514
2014-12-29,90.550003,92.019997,90.349998,91.160004,1229700,88.170177
2014-12-26,89.769997,91.029999,89.769997,90.419998,850300,87.454441
2014-12-24,88.150002,89.989998,87.870003,89.529999,1282900,86.593632
2014-12-23,88.50,88.860001,87.540001,88.07,1374900,85.181517
2014-12-22,86.540001,88.650002,86.129997,88.309998,1964000,85.413644
2014-12-19,89.059998,89.959999,88.559998,89.029999,3446900,86.110031
2014-12-18,87.339996,88.709999,87.080002,88.699997,1627500,85.790852
2014-12-17,86.190002,87.760002,86.080002,87.32,2248500,84.456115
2014-12-16,86.50,87.410004,85.860001,86.00,2696700,83.179409
2014-12-15,86.510002,87.919998,85.919998,86.370003,3077900,83.537276
2014-12-12,84.339996,87.989998,84.150002,86.410004,4037500,83.575965
2014-12-11,83.209999,85.209999,83.120003,84.900002,1642500,82.115487
2014-12-10,83.989998,84.519997,83.040001,83.089996,1204500,80.364846
2014-12-09,83.830002,84.790001,83.349998,83.980003,2119400,81.225663
2014-12-08,82.830002,84.32,82.620003,84.040001,1105500,81.283693
2014-12-05,82.50,83.00,82.18,82.720001,1634900,80.006986
2014-12-04,83.300003,83.989998,83.199997,83.559998,1037100,80.819432
2014-12-03,83.699997,83.860001,83.099998,83.470001,1031100,80.732388
2014-12-02,83.529999,84.110001,83.269997,83.699997,1548200,80.95484
2014-12-01,83.209999,84.989998,82.760002,83.830002,2016800,81.080581
2014-11-28,82.349998,84.010002,82.349998,83.900002,915400,81.148285
2014-11-26,81.669998,82.489998,81.540001,82.169998,1378600,79.475021
2014-11-25,81.419998,81.540001,80.970001,81.309998,1254400,78.643227
2014-11-24,82.559998,82.720001,81.360001,81.470001,1233000,78.797983
2014-11-21,82.910004,82.980003,81.800003,82.400002,1542000,79.697481
2014-11-20,82.900002,83.279999,82.040001,82.230003,1232100,79.533059
2014-11-19,83.68,84.120003,83.059998,83.339996,1444900,80.606647
2014-11-18,83.459999,84.440002,82.870003,83.900002,1237500,81.148285
2014-11-17,81.309998,83.449997,81.160004,83.269997,1854300,80.538943
2014-11-14,81.510002,81.949997,81.089996,81.449997,1633900,78.778635
2014-11-13,81.830002,82.800003,81.480003,81.68,1931000,79.001094
2014-11-12,82.32,82.489998,80.580002,81.620003,2543400,78.943065
2014-11-11,83.480003,83.580002,82.480003,82.959999,1629900,80.239112
2014-11-10,82.080002,83.32,82.080002,83.290001,2366700,80.558291
2014-11-07,82.379997,82.709999,81.510002,82.68,2325500,79.165522
2014-11-06,83.730003,83.849998,81.00,81.959999,3669600,78.476126
2014-11-05,83.07,84.129997,82.480003,83.699997,3751600,80.142162
2014-11-04,80.769997,83.75,80.040001,82.470001,1757000,78.964449
2014-11-03,84.300003,84.309998,83.480003,83.849998,2165200,80.285787
2014-10-31,84.559998,84.580002,83.550003,84.019997,2165400,80.448559
2014-10-30,82.459999,84.260002,81.949997,84.239998,1422900,80.659209
2014-10-29,82.050003,82.879997,81.18,82.059998,1382600,78.571874
2014-10-28,82.129997,82.220001,81.099998,81.879997,1885800,78.399525
2014-10-27,82.139999,82.650002,81.779999,82.110001,1636200,78.619751
2014-10-24,81.279999,82.190002,81.239998,82.139999,1089000,78.648475
2014-10-23,81.489998,81.959999,80.75,81.290001,1422400,77.834607
2014-10-22,80.00,81.379997,79.959999,80.940002,1256400,77.499486
2014-10-21,80.059998,80.07,79.400002,80.00,1282600,76.599441
2014-10-20,79.290001,79.949997,79.099998,79.839996,1271700,76.446238
2014-10-17,79.800003,79.980003,78.040001,79.330002,2377000,75.957922
2014-10-16,77.870003,79.519997,77.050003,79.400002,1965200,76.024946
2014-10-15,78.980003,81.660004,77.650002,78.949997,2778600,75.59407
2014-10-14,79.050003,81.589996,78.739998,81.040001,2777700,77.595234
2014-10-13,77.989998,79.57,77.709999,78.68,1942500,75.33555
2014-10-10,77.779999,78.660004,77.68,77.830002,1556100,74.521683
2014-10-09,79.050003,79.660004,77.440002,77.510002,2109900,74.215285
2014-10-08,77.989998,79.639999,77.809998,79.620003,1771700,76.235596
2014-10-07,77.50,78.839996,77.370003,77.809998,1612700,74.502529
2014-10-06,77.900002,78.279999,77.470001,77.709999,907200,74.406781
2014-10-03,77.68,77.989998,76.510002,77.82,1149700,74.512106
2014-10-02,77.790001,78.32,77.32,77.470001,1593700,74.176984
2014-10-01,77.330002,78.699997,77.00,78.040001,1463400,74.722755
2014-09-30,76.940002,78.370003,76.790001,77.330002,1615800,74.042936
2014-09-29,76.00,76.769997,75.900002,76.739998,998000,73.478011
2014-09-26,76.099998,76.449997,75.43,76.139999,934200,72.903517
2014-09-25,76.32,76.529999,75.800003,76.00,1222500,72.769469
2014-09-24,76.639999,76.720001,76.010002,76.309998,859100,73.066289
2014-09-23,76.959999,77.040001,76.360001,76.510002,1762500,73.257792
2014-09-22,76.519997,77.559998,76.330002,76.989998,1196800,73.717385
2014-09-19,76.129997,76.879997,75.860001,76.82,1591900,73.554613
2014-09-18,76.690002,77.029999,75.599998,75.839996,930200,72.616266
2014-09-17,77.220001,77.459999,76.239998,76.519997,1080300,73.267362
2014-09-16,75.849998,77.489998,75.709999,77.010002,1194800,73.736539
2014-09-15,75.68,76.43,75.550003,75.949997,1340400,72.721591
2014-09-12,76.540001,76.650002,75.290001,75.480003,844300,72.271575
2014-09-11,76.190002,77.080002,75.900002,77.059998,984900,73.784409
2014-09-10,76.18,76.349998,75.580002,76.160004,831900,72.922671
2014-09-09,76.120003,76.709999,75.559998,76.129997,1297000,72.89394
2014-09-08,77.480003,77.559998,76.059998,76.349998,1194300,73.10459
2014-09-05,76.970001,77.639999,76.599998,77.410004,1385600,74.119537
2014-09-04,77.010002,77.290001,76.459999,76.860001,1804400,73.592913
2014-09-03,76.550003,77.50,76.550003,77.139999,887700,73.86101
2014-09-02,77.330002,77.419998,75.889999,76.379997,1959800,73.133313
2014-08-29,76.43,77.449997,76.360001,77.410004,1353900,74.119537
2014-08-28,75.379997,76.379997,75.220001,76.330002,852400,73.085443
2014-08-27,74.879997,75.540001,74.559998,75.480003,929700,72.271575
2014-08-26,75.43,75.769997,74.32,74.470001,1286300,71.304505
2014-08-25,74.68,75.639999,74.599998,75.580002,1191200,72.367323
2014-08-22,74.910004,75.139999,74.080002,74.57,936600,71.400253
2014-08-21,74.940002,75.800003,74.540001,74.82,1199900,71.639627
2014-08-20,74.110001,75.18,73.639999,75.110001,2191700,71.9173
2014-08-19,72.889999,73.970001,72.800003,73.959999,1120200,70.816182
2014-08-18,72.900002,73.199997,72.57,72.75,783900,69.657616
2014-08-15,73.010002,73.639999,72.349998,72.82,1255200,69.72464
2014-08-14,71.849998,73.220001,71.849998,73.010002,1667000,69.906566
2014-08-13,71.459999,72.089996,71.139999,71.919998,1564300,68.862895
2014-08-12,71.550003,71.860001,71.260002,71.419998,1128500,68.384149
2014-08-11,72.650002,73.349998,72.440002,72.550003,1349000,68.671398
2014-08-08,71.75,72.720001,71.75,72.68,1286500,68.794445
2014-08-07,71.050003,71.910004,71.050003,71.57,1448000,67.743786
2014-08-06,71.900002,71.919998,70.699997,70.82,2524000,67.033882
2014-08-05,72.18,73.080002,71.82,72.120003,2417900,68.264386
2014-08-04,72.919998,72.980003,71.120003,72.43,4022300,68.55781
2014-08-01,72.879997,73.620003,72.760002,72.989998,1552500,69.08787
2014-07-31,73.910004,74.110001,72.809998,72.830002,1323900,68.936427
2014-07-30,75.010002,75.510002,73.559998,74.160004,2102900,70.195326
2014-07-29,76.459999,76.459999,74.440002,74.989998,2322400,70.980948
2014-07-28,75.529999,76.690002,75.400002,76.349998,1907100,72.268241
2014-07-25,76.389999,76.779999,75.360001,75.480003,1449900,71.444757
2014-07-24,75.459999,76.43,75.459999,76.349998,2139200,72.268241
2014-07-23,76.120003,76.269997,75.57,75.639999,2310500,71.596199
2014-07-22,77.510002,77.849998,75.970001,76.00,2177800,71.936954
2014-07-21,77.050003,77.470001,76.709999,77.349998,1506000,73.21478
2014-07-18,77.00,77.269997,75.949997,77.220001,1544100,73.091732
2014-07-17,77.150002,77.610001,76.190002,76.269997,1758900,72.192516
2014-07-16,77.620003,78.010002,77.110001,77.949997,1638700,73.782702
2014-07-15,77.410004,77.629997,77.00,77.529999,1622400,73.385157
2014-07-14,78.400002,78.440002,77.18,77.199997,1332200,73.072798
2014-07-11,78.660004,78.940002,77.870003,78.019997,1077400,73.848959
2014-07-10,77.50,78.830002,77.43,78.699997,1617800,74.492606
2014-07-09,78.470001,78.900002,77.370003,77.970001,1651700,73.801637
2014-07-08,78.470001,79.169998,78.269997,78.470001,1781600,74.274906
2014-07-07,77.190002,78.529999,77.190002,78.400002,2244300,74.208649
2014-07-03,78.209999,78.400002,76.970001,76.970001,2087400,72.855098
2014-07-02,81.220001,81.300003,78.080002,78.660004,3073000,74.454751
2014-07-01,81.879997,82.480003,81.209999,81.300003,1412800,76.953613
2014-06-30,81.32,82.300003,81.150002,82.089996,1266100,77.701372
2014-06-27,80.57,81.300003,80.300003,81.18,1460400,76.840025
2014-06-26,81.150002,81.330002,80.660004,80.860001,1136200,76.537133
2014-06-25,80.510002,81.230003,80.400002,81.169998,1090800,76.830558
2014-06-24,80.470001,80.910004,80.389999,80.449997,1702400,76.149049
2014-06-23,80.730003,80.82,79.790001,80.540001,1572500,76.234241
2014-06-20,81.00,81.529999,80.699997,80.830002,2163500,76.508738
