Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,83.910004,84.169998,82.599998,83.279999,1117000,83.279999
2015-10-15,83.610001,83.839996,82.25,83.720001,749000,83.720001
2015-10-14,84.089996,84.489998,83.139999,83.330002,749300,83.330002
2015-10-13,84.900002,85.260002,84.269997,84.370003,399300,84.370003
2015-10-12,85.459999,85.589996,85.029999,85.209999,390200,85.209999
2015-10-09,86.089996,86.50,85.550003,85.57,485000,85.57
2015-10-08,84.32,86.260002,84.32,85.959999,577500,85.959999
2015-10-07,83.459999,84.540001,83.00,84.489998,932500,84.489998
2015-10-06,83.860001,83.910004,82.809998,82.870003,759100,82.870003
2015-10-05,82.68,84.059998,82.400002,83.830002,1041800,83.830002
2015-10-02,80.230003,82.080002,79.769997,82.080002,944700,82.080002
2015-10-01,82.559998,82.870003,80.25,81.480003,1389600,81.480003
2015-09-30,82.639999,83.300003,81.940002,82.889999,1057500,82.889999
2015-09-29,82.910004,83.029999,82.169998,82.540001,539500,82.540001
2015-09-28,83.540001,83.800003,82.440002,82.660004,576600,82.660004
2015-09-25,84.00,84.239998,83.449997,83.959999,800400,83.959999
2015-09-24,82.059998,83.559998,81.809998,83.400002,838000,83.400002
2015-09-23,82.730003,82.82,82.059998,82.690002,527600,82.690002
2015-09-22,82.790001,82.870003,82.279999,82.660004,523200,82.660004
2015-09-21,83.50,84.32,83.269997,83.699997,437300,83.699997
2015-09-18,84.209999,84.230003,83.089996,83.25,903000,83.25
2015-09-17,85.870003,86.220001,84.760002,85.059998,732100,85.059998
2015-09-16,84.769997,86.25,84.470001,86.059998,643000,86.059998
2015-09-15,83.199997,85.080002,82.839996,84.900002,752500,84.900002
2015-09-14,83.43,83.459999,82.610001,83.040001,378900,83.040001
2015-09-11,82.959999,83.459999,82.410004,83.43,459800,83.43
2015-09-10,82.849998,83.639999,82.400002,83.169998,579200,83.169998
2015-09-09,84.230003,84.50,82.790001,82.989998,839800,82.989998
2015-09-08,82.360001,83.690002,82.279999,83.639999,588300,83.639999
2015-09-04,80.82,81.519997,80.660004,80.919998,640000,80.919998
