Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,32.389999,32.720001,31.92,32.68,2368800,32.68
2015-10-15,32.029999,32.400002,31.77,32.369999,2631100,32.369999
2015-10-14,31.75,32.09,31.639999,32.00,3935400,32.00
2015-10-13,31.620001,32.279999,31.50,31.65,2699500,31.65
2015-10-12,31.959999,32.200001,31.74,31.780001,2193400,31.780001
2015-10-09,31.90,32.290001,31.75,31.879999,2307300,31.879999
2015-10-08,31.07,31.959999,31.07,31.82,2781100,31.82
2015-10-07,30.60,31.530001,30.51,31.23,3502400,31.23
2015-10-06,30.040001,30.629999,29.68,30.389999,3132800,30.389999
2015-10-05,29.42,30.309999,29.27,30.23,2967800,30.23
2015-10-02,28.82,29.389999,28.610001,29.23,3132300,29.23
2015-10-01,29.58,29.889999,28.870001,29.42,3638400,29.42
2015-09-30,28.700001,29.450001,28.59,29.33,3945400,29.33
2015-09-29,28.10,28.67,27.99,28.32,2881500,28.32
2015-09-28,29.48,29.75,28.290001,28.370001,3178900,28.370001
2015-09-25,29.459999,29.98,29.26,29.73,3450000,29.73
2015-09-24,29.280001,29.389999,28.34,29.190001,2862100,29.190001
2015-09-23,29.559999,29.66,29.02,29.57,3042000,29.57
2015-09-22,30.120001,30.34,29.24,29.559999,3743000,29.559999
2015-09-21,30.459999,30.98,30.209999,30.68,1942600,30.68
2015-09-18,30.709999,30.790001,30.25,30.459999,3759000,30.459999
2015-09-17,30.799999,31.620001,30.66,31.10,2988800,31.10
2015-09-16,29.639999,30.950001,29.459999,30.90,3745400,30.90
2015-09-15,29.469999,29.790001,29.00,29.639999,3364700,29.639999
2015-09-14,29.60,29.68,29.110001,29.309999,2512500,29.309999
2015-09-11,29.77,29.85,29.030001,29.58,2794000,29.58
2015-09-10,29.73,30.18,29.60,29.92,3129500,29.92
2015-09-09,30.370001,30.629999,29.82,29.889999,3297100,29.889999
2015-09-08,29.93,30.280001,29.700001,30.09,2881400,30.09
2015-09-04,29.33,29.440001,28.92,29.219999,2106800,29.219999
2015-09-03,29.379999,30.09,29.110001,29.700001,2852700,29.700001
2015-09-02,29.200001,29.389999,28.709999,29.299999,2959800,29.299999
2015-09-01,29.01,29.440001,28.459999,28.67,3070200,28.67
2015-08-31,29.40,30.18,29.299999,29.77,3436500,29.77
2015-08-28,28.700001,29.639999,28.57,29.52,2801200,29.52
2015-08-27,28.85,29.16,28.18,28.940001,5982200,28.940001
2015-08-26,28.629999,29.00,27.52,28.48,4509800,28.48
2015-08-25,28.879999,29.34,27.82,27.83,4491500,27.83
2015-08-24,27.15,29.25,25.50,28.09,5904100,28.09
2015-08-21,30.809999,30.860001,29.280001,29.280001,4878900,29.280001
2015-08-20,31.780001,31.92,31.08,31.139999,3343500,31.139999
2015-08-19,32.369999,32.59,31.700001,32.220001,4169500,32.220001
2015-08-18,32.50,32.950001,32.50,32.66,3193600,32.66
2015-08-17,32.169998,32.599998,31.99,32.580002,2307000,32.580002
2015-08-14,31.82,32.48,31.799999,32.310001,2841700,32.310001
2015-08-13,31.34,32.099998,31.23,31.879999,3033500,31.879999
2015-08-12,30.85,31.42,30.389999,31.379999,4992300,31.379999
2015-08-11,31.58,31.58,30.709999,31.219999,2924700,31.219999
2015-08-10,31.280001,32.00,31.09,31.84,2674400,31.84
2015-08-07,30.77,31.15,30.66,30.889999,2842300,30.889999
2015-08-06,31.059999,31.469999,30.290001,30.74,3787300,30.74
2015-08-05,31.09,31.299999,30.90,31.01,2691500,31.01
2015-08-04,30.309999,31.01,30.27,30.77,3749200,30.77
2015-08-03,30.389999,30.469999,29.90,30.200001,2389500,30.200001
2015-07-31,29.92,30.17,29.58,30.129999,2666100,30.129999
2015-07-30,29.51,30.059999,29.51,29.75,3643000,29.75
2015-07-29,30.389999,32.200001,29.309999,29.77,8178800,29.77
2015-07-28,29.139999,29.639999,28.74,29.58,6817000,29.52
2015-07-27,29.15,29.40,28.58,29.02,4560200,28.961136
2015-07-24,30.08,30.08,29.120001,29.27,2957400,29.210629
2015-07-23,30.17,30.32,29.92,30.00,2393300,29.939148
2015-07-22,30.120001,30.389999,30.00,30.139999,1738100,30.078863
2015-07-21,30.040001,30.23,29.860001,30.16,1995700,30.098823
2015-07-20,30.540001,30.60,29.959999,30.040001,2309700,29.979068
2015-07-17,30.379999,30.74,30.299999,30.50,3901500,30.438134
2015-07-16,30.09,30.459999,29.790001,30.389999,4491500,30.328356
2015-07-15,30.200001,30.280001,29.65,29.77,2777000,29.709615
2015-07-14,29.50,30.34,29.41,30.290001,3645100,30.228561
2015-07-13,29.16,29.450001,28.780001,29.41,3897200,29.350344
2015-07-10,29.299999,29.309999,28.82,28.99,2997400,28.931196
2015-07-09,29.68,29.799999,28.629999,28.91,5138100,28.851359
2015-07-08,29.700001,29.77,29.049999,29.209999,4088500,29.150749
2015-07-07,30.10,30.15,29.209999,30.01,3200500,29.949128
2015-07-06,30.01,30.440001,29.809999,30.040001,3009000,29.979068
2015-07-02,30.59,30.75,30.07,30.290001,1948400,30.228561
2015-07-01,30.26,30.549999,30.059999,30.450001,2702300,30.388236
2015-06-30,29.950001,30.32,29.780001,30.15,3709300,30.088843
2015-06-29,30.969999,31.00,29.43,29.639999,5633900,29.579877
2015-06-26,31.34,31.469999,31.18,31.40,8074600,31.336308
2015-06-25,31.440001,31.50,31.209999,31.23,1884500,31.166652
2015-06-24,31.469999,31.940001,31.139999,31.33,2458300,31.26645
2015-06-23,31.15,31.469999,31.139999,31.41,1851300,31.346288
2015-06-22,31.290001,31.389999,31.08,31.18,2109500,31.116755
2015-06-19,31.01,31.43,30.93,31.209999,2979300,31.146693
2015-06-18,31.17,31.34,30.889999,31.01,2927800,30.947099
2015-06-17,31.120001,31.370001,30.77,31.049999,1781100,30.987017
2015-06-16,31.00,31.09,30.709999,31.030001,1818700,30.967059
2015-06-15,31.290001,31.290001,30.58,31.01,3772000,30.947099
2015-06-12,31.24,31.639999,31.18,31.49,3080600,31.426125
2015-06-11,31.389999,31.75,31.299999,31.41,2859900,31.346288
2015-06-10,30.940001,31.90,30.90,31.389999,4043000,31.326328
2015-06-09,31.26,31.559999,30.940001,31.50,2998500,31.436105
2015-06-08,31.379999,31.60,31.01,31.040001,3365600,30.977039
2015-06-05,31.379999,31.49,31.01,31.32,5252500,31.25647
2015-06-04,32.040001,32.169998,31.26,31.389999,4738800,31.326328
2015-06-03,32.279999,32.509998,32.049999,32.09,2488800,32.024909
2015-06-02,32.369999,32.509998,32.029999,32.220001,2911300,32.154646
2015-06-01,31.99,32.740002,31.90,32.41,4989000,32.344259
2015-05-29,32.07,32.16,31.59,31.85,13800100,31.785396
2015-05-28,32.200001,32.509998,31.860001,32.029999,3035300,31.965029
2015-05-27,31.940001,32.349998,31.860001,32.240002,3933400,32.174606
2015-05-26,31.65,32.040001,31.40,31.99,3795500,31.925111
2015-05-22,31.90,32.150002,31.690001,31.74,3510000,31.675618
2015-05-21,31.27,31.98,31.24,31.889999,3938600,31.825314
2015-05-20,31.360001,31.360001,30.889999,31.26,3820300,31.196592
2015-05-19,31.25,31.309999,30.940001,31.209999,2111700,31.146693
2015-05-18,30.82,31.66,30.799999,31.24,4537600,31.176632
2015-05-15,30.879999,30.969999,30.59,30.85,2906000,30.787424
2015-05-14,30.559999,30.870001,30.299999,30.860001,4487400,30.797404
2015-05-13,29.809999,30.66,29.66,30.379999,7812500,30.318376
2015-05-12,29.67,29.75,29.450001,29.59,2807500,29.52998
2015-05-11,29.440001,29.950001,29.43,29.77,6242800,29.709615
2015-05-08,29.07,29.50,28.870001,29.43,4593400,29.370304
2015-05-07,27.879999,28.860001,27.83,28.790001,5238000,28.731603
2015-05-06,27.99,28.030001,27.60,27.98,3907700,27.923245
2015-05-05,28.25,28.450001,27.85,27.959999,4083500,27.903285
2015-05-04,28.379999,28.49,28.190001,28.34,3581300,28.282515
2015-05-01,28.60,28.610001,27.67,28.40,5320000,28.342393
2015-04-30,28.07,28.85,27.99,28.370001,5226800,28.312455
2015-04-29,27.969999,29.07,27.950001,28.34,8287300,28.282515
2015-04-28,27.42,27.59,26.92,27.209999,5695000,27.094928
2015-04-27,27.74,27.940001,27.450001,27.60,3209300,27.48328
