Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,17.73,17.860001,17.50,17.57,8384800,17.57
2015-10-15,17.35,17.690001,17.24,17.690001,6630600,17.690001
2015-10-14,17.389999,17.52,17.219999,17.280001,9290200,17.280001
2015-10-13,17.65,17.66,17.26,17.379999,9931400,17.379999
2015-10-12,17.709999,17.879999,17.610001,17.65,4263400,17.65
2015-10-09,17.82,17.940001,17.540001,17.629999,7213100,17.629999
2015-10-08,17.559999,17.940001,17.17,17.85,9592300,17.85
2015-10-07,17.16,17.68,17.059999,17.65,15994000,17.65
2015-10-06,16.60,17.16,16.559999,17.07,10887000,17.07
2015-10-05,16.360001,16.719999,16.299999,16.65,8745700,16.65
2015-10-02,15.87,16.27,15.69,16.25,10773500,16.25
2015-10-01,15.85,16.25,15.62,16.07,14053800,16.07
2015-09-30,15.54,15.88,15.45,15.81,19952300,15.81
2015-09-29,15.65,15.88,15.36,15.39,16052000,15.39
2015-09-28,15.75,15.96,15.52,15.65,13065900,15.65
2015-09-25,16.200001,16.32,15.99,16.25,11484100,16.05
2015-09-24,16.059999,16.24,15.83,16.049999,10789100,15.852461
2015-09-23,16.02,16.25,15.96,16.17,7474400,15.970985
2015-09-22,16.469999,16.469999,16.040001,16.040001,10549300,15.842585
2015-09-21,16.59,16.73,16.51,16.620001,13870700,16.415447
2015-09-18,17.02,17.15,16.49,16.530001,19847700,16.326554
2015-09-17,17.40,17.82,17.190001,17.42,8224200,17.2056
2015-09-16,17.17,17.450001,17.059999,17.41,9248400,17.195723
2015-09-15,17.629999,17.629999,16.85,17.27,15597100,17.057446
2015-09-14,17.75,17.75,17.57,17.68,5438400,17.4624
2015-09-11,17.34,17.74,17.219999,17.74,6256900,17.521661
2015-09-10,17.24,17.57,17.209999,17.34,7076500,17.126585
2015-09-09,17.76,17.809999,17.280001,17.33,5658200,17.116707
2015-09-08,17.450001,17.639999,17.41,17.58,7718700,17.36363
2015-09-04,17.32,17.43,17.07,17.200001,4299100,16.988308
2015-09-03,17.559999,17.700001,17.51,17.559999,5121400,17.343876
2015-09-02,17.58,17.629999,17.27,17.459999,5190300,17.245107
2015-09-01,17.35,17.639999,17.18,17.33,7348700,17.116707
2015-08-31,18.190001,18.219999,17.73,17.73,8985500,17.511784
2015-08-28,18.129999,18.299999,18.00,18.280001,6671000,18.055016
2015-08-27,17.85,18.299999,17.809999,18.17,7026900,17.946369
2015-08-26,17.440001,17.75,17.10,17.709999,11904300,17.49203
2015-08-25,18.059999,18.07,17.00,17.00,10676900,16.790769
2015-08-24,17.459999,18.23,17.209999,17.559999,11332900,17.343876
2015-08-21,18.58,18.709999,18.280001,18.290001,9263600,18.064893
2015-08-20,18.969999,19.07,18.68,18.719999,10191600,18.489599
2015-08-19,19.41,19.43,19.059999,19.15,8215300,18.914307
2015-08-18,19.60,19.66,19.360001,19.610001,5752700,19.368647
