Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,116.839996,117.480003,116.379997,117.279999,1168700,117.279999
2015-10-15,115.419998,116.269997,115.239998,116.129997,1507300,116.129997
2015-10-14,115.120003,115.410004,114.360001,114.709999,1328300,114.709999
2015-10-13,114.980003,115.629997,114.830002,115.050003,975700,115.050003
2015-10-12,114.540001,115.879997,114.519997,115.43,1028400,115.43
2015-10-09,114.00,114.900002,113.769997,114.730003,1409400,114.730003
2015-10-08,112.00,113.82,112.00,113.800003,1026000,113.800003
2015-10-07,111.639999,112.599998,111.239998,112.029999,1456200,112.029999
2015-10-06,111.75,112.279999,111.220001,111.470001,1102600,111.470001
2015-10-05,110.059998,112.160004,109.82,112.019997,2467400,112.019997
2015-10-02,108.190002,109.620003,107.790001,109.139999,2891500,109.139999
2015-10-01,108.330002,108.860001,107.980003,108.739998,2565400,108.739998
2015-09-30,108.809998,109.199997,108.370003,109.040001,1575500,109.040001
2015-09-29,106.800003,107.970001,106.660004,107.739998,1940400,107.739998
2015-09-28,108.43,108.790001,106.75,106.809998,1354300,106.809998
2015-09-25,108.989998,109.949997,108.389999,108.709999,2102100,108.709999
2015-09-24,107.279999,108.480003,107.010002,108.169998,2080900,108.169998
2015-09-23,107.68,108.150002,107.139999,107.860001,1499600,107.860001
2015-09-22,107.669998,108.089996,107.00,107.839996,1468200,107.839996
2015-09-21,108.449997,109.080002,108.010002,108.769997,1259600,108.769997
2015-09-18,107.709999,108.800003,107.089996,107.849998,2840300,107.849998
2015-09-17,107.330002,109.07,106.970001,107.839996,1475200,107.839996
2015-09-16,105.900002,107.589996,105.809998,107.260002,1402500,107.260002
2015-09-15,105.230003,106.080002,104.25,105.639999,1371500,105.639999
2015-09-14,104.050003,104.129997,103.360001,103.779999,1009300,103.779999
2015-09-11,103.599998,104.080002,103.160004,104.050003,916400,104.050003
2015-09-10,103.410004,104.57,103.040001,103.660004,1324700,103.660004
2015-09-09,107.080002,107.199997,103.620003,103.870003,1241000,103.870003
2015-09-08,105.419998,106.209999,105.019997,105.980003,1423100,105.980003
2015-09-04,104.230003,104.550003,103.160004,103.519997,1209100,103.519997
2015-09-03,105.209999,106.25,105.019997,105.639999,1149700,105.639999
2015-09-02,104.43,104.940002,103.599998,104.790001,1741500,104.790001
2015-09-01,104.900002,105.629997,103.459999,104.029999,1930300,103.15
2015-08-31,106.900002,107.050003,106.230003,106.529999,1368900,105.628852
2015-08-28,107.169998,107.639999,106.480003,107.209999,1610500,106.3031
2015-08-27,106.809998,108.110001,105.809998,107.730003,2122000,106.818705
2015-08-26,105.160004,106.449997,103.110001,106.18,2331700,105.281814
2015-08-25,109.080002,109.449997,103.190002,103.349998,2627500,102.475751
2015-08-24,105.82,108.690002,104.120003,106.379997,3547000,105.480119
2015-08-21,113.480003,113.709999,111.360001,111.410004,2150900,110.467576
2015-08-20,114.470001,115.160004,113.959999,114.050003,1042800,113.085244
2015-08-19,115.599998,116.110001,114.889999,115.370003,1201000,114.394077
2015-08-18,115.230003,116.43,115.230003,116.040001,878100,115.058408
2015-08-17,115.739998,116.260002,115.25,116.230003,704400,115.246803
2015-08-14,115.720001,116.339996,115.459999,116.160004,994600,115.177396
2015-08-13,115.900002,116.309998,115.519997,115.779999,949200,114.800605
2015-08-12,115.75,116.00,114.199997,115.650002,1599400,114.671708
2015-08-11,116.18,116.669998,115.849998,116.639999,1156200,115.653331
2015-08-10,117.279999,117.470001,116.709999,116.900002,946700,115.911134
2015-08-07,116.529999,116.760002,115.959999,116.709999,1354000,115.722739
2015-08-06,117.650002,117.949997,116.580002,116.660004,1368800,115.673166
2015-08-05,116.50,117.830002,115.910004,117.610001,1432500,116.615127
2015-08-04,115.459999,116.25,115.339996,116.00,1605600,115.018745
2015-08-03,114.75,115.699997,114.379997,115.690002,1220900,114.71137
2015-07-31,114.830002,115.629997,114.610001,114.970001,2062000,113.997459
2015-07-30,112.93,114.769997,112.410004,114.57,1746900,113.600842
2015-07-29,113.089996,113.900002,112.989998,113.50,1309300,112.539893
2015-07-28,112.559998,113.419998,112.290001,113.290001,1270700,112.33167
2015-07-27,111.720001,112.540001,111.190002,112.360001,1694500,111.409537
2015-07-24,111.730003,112.669998,111.510002,111.839996,1222900,110.893932
2015-07-23,112.540001,112.540001,110.519997,111.629997,1476300,110.685709
2015-07-22,112.510002,113.410004,111.739998,112.199997,2196100,111.250887
2015-07-21,112.849998,112.900002,111.760002,112.489998,2033300,111.538435
2015-07-20,112.330002,113.00,112.089996,112.940002,1060400,111.984633
2015-07-17,111.620003,112.470001,111.360001,112.400002,1800400,111.4492
2015-07-16,111.739998,112.480003,111.410004,112.029999,1042300,111.082327
