Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,24.110001,24.549999,23.01,23.889999,15598600,23.889999
2015-10-15,22.379999,22.620001,22.00,22.530001,6692500,22.530001
2015-10-14,22.48,22.799999,22.299999,22.52,3910500,22.52
2015-10-13,22.370001,22.870001,22.15,22.469999,5780200,22.469999
2015-10-12,22.870001,23.00,22.43,22.49,6011100,22.49
2015-10-09,22.23,22.530001,21.83,22.35,5124400,22.35
2015-10-08,21.889999,22.559999,21.879999,22.33,4361600,22.33
2015-10-07,21.84,22.50,21.620001,21.82,6425600,21.82
2015-10-06,21.559999,21.74,21.09,21.700001,6540700,21.700001
2015-10-05,20.02,21.700001,20.02,21.620001,11012600,21.620001
2015-10-02,19.639999,20.07,19.450001,19.93,7641100,19.93
2015-10-01,20.799999,20.959999,19.66,19.83,9285700,19.83
2015-09-30,21.15,21.15,20.35,21.059999,6564400,21.059999
2015-09-29,21.60,21.76,20.969999,21.030001,6497000,21.030001
2015-09-28,22.370001,22.49,21.58,21.610001,4997800,21.610001
2015-09-25,22.889999,22.90,22.440001,22.629999,4203900,22.629999
2015-09-24,22.49,22.719999,22.059999,22.60,3193400,22.60
2015-09-23,22.940001,23.110001,22.58,22.719999,3120100,22.719999
2015-09-22,22.93,23.120001,22.73,22.870001,3768800,22.870001
2015-09-21,23.139999,23.370001,23.02,23.190001,2827600,23.190001
2015-09-18,23.540001,23.82,22.940001,23.040001,5543200,23.040001
2015-09-17,24.07,24.200001,23.700001,23.83,4686600,23.83
2015-09-16,23.129999,24.10,23.030001,24.030001,6291000,24.030001
2015-09-15,22.799999,23.200001,22.73,23.120001,3106000,23.120001
2015-09-14,22.65,22.799999,22.49,22.719999,2608200,22.719999
2015-09-11,22.629999,22.940001,22.290001,22.60,3732600,22.60
2015-09-10,22.719999,23.139999,22.67,22.76,5434400,22.76
2015-09-09,23.23,23.35,22.75,22.809999,2903900,22.809999
2015-09-08,23.17,23.25,22.90,23.00,2607600,23.00
2015-09-04,22.809999,23.040001,22.75,22.82,3020000,22.82
2015-09-03,23.049999,23.33,22.879999,23.10,2925000,23.10
2015-09-02,22.82,22.93,22.290001,22.93,3363000,22.93
2015-09-01,22.690001,23.209999,22.48,22.57,5917800,22.57
2015-08-31,23.030001,23.49,22.90,23.43,4965200,23.43
2015-08-28,22.690001,23.559999,22.66,23.200001,5251400,23.200001
2015-08-27,22.01,22.93,21.790001,22.83,6847600,22.83
2015-08-26,21.780001,21.889999,21.280001,21.75,6106900,21.75
2015-08-25,21.709999,22.09,21.190001,21.440001,8988600,21.440001
2015-08-24,21.370001,21.76,20.50,21.440001,12693100,21.440001
2015-08-21,22.67,22.82,22.32,22.58,9089100,22.199999
2015-08-20,22.540001,23.02,22.42,22.76,5270900,22.376971
2015-08-19,22.799999,22.84,22.49,22.51,3809500,22.131178
2015-08-18,23.48,23.50,22.809999,22.90,3408000,22.514614
2015-08-17,22.98,23.48,22.959999,23.41,3604700,23.016031
2015-08-14,23.10,23.360001,22.91,23.09,3954600,22.701417
2015-08-13,23.41,23.41,22.92,23.08,4148700,22.691585
2015-08-12,22.92,23.27,22.700001,23.219999,4480800,22.829228
2015-08-11,23.35,23.40,23.129999,23.299999,3904600,22.907882
2015-08-10,22.969999,23.60,22.83,23.540001,4676600,23.143845
2015-08-07,22.620001,22.889999,22.50,22.82,3902700,22.43596
2015-08-06,22.76,22.93,22.530001,22.629999,4585100,22.249157
2015-08-05,22.84,23.00,22.620001,22.93,4580600,22.54411
2015-08-04,22.440001,22.620001,22.32,22.620001,5624400,22.239327
2015-08-03,23.51,23.57,22.33,22.51,4749200,22.131178
2015-07-31,23.43,23.469999,23.07,23.209999,3785800,22.819396
2015-07-30,23.09,23.65,23.030001,23.440001,5038100,23.045527
2015-07-29,22.940001,23.219999,22.90,23.120001,3497300,22.730913
2015-07-28,23.10,23.200001,22.82,23.059999,3842800,22.671921
2015-07-27,23.059999,23.17,22.82,23.08,5873700,22.691585
2015-07-24,23.540001,23.559999,22.92,23.209999,6341100,22.819396
2015-07-23,23.639999,23.74,23.440001,23.530001,4653300,23.134013
2015-07-22,23.77,23.84,23.34,23.700001,6801900,23.301152
2015-07-21,23.91,24.110001,23.530001,23.73,5520000,23.330646
2015-07-20,24.35,24.43,23.77,24.01,6704500,23.605934
2015-07-17,25.76,25.82,23.73,24.309999,15123800,23.900885
2015-07-16,25.709999,25.85,25.08,25.15,5565000,24.726748
2015-07-15,25.82,25.950001,25.379999,25.59,3288600,25.159344
2015-07-14,26.07,26.10,25.77,25.82,3016000,25.385473
2015-07-13,25.469999,26.129999,25.42,26.10,4997300,25.660762
2015-07-10,25.99,26.00,25.23,25.379999,5358800,24.952877
2015-07-09,26.32,26.51,25.74,25.780001,4039000,25.346147
2015-07-08,25.90,26.32,25.82,26.040001,4237100,25.601772
2015-07-07,25.84,26.110001,25.65,26.040001,3514000,25.601772
2015-07-06,25.77,25.93,25.620001,25.77,4118900,25.336315
2015-07-02,26.309999,26.360001,25.99,26.07,2872400,25.631266
2015-07-01,25.950001,26.35,25.41,26.34,4653300,25.896722
2015-06-30,26.040001,26.139999,25.549999,25.690001,2851000,25.257662
2015-06-29,26.639999,26.719999,25.870001,25.90,2591000,25.464127
2015-06-26,26.620001,27.219999,26.60,26.90,6172600,26.447298
2015-06-25,26.76,26.799999,26.40,26.620001,3151200,26.172011
2015-06-24,26.809999,27.01,26.700001,26.74,5396900,26.28999
2015-06-23,26.879999,27.049999,26.75,26.799999,2749700,26.34898
2015-06-22,26.790001,26.99,26.700001,26.870001,2391700,26.417804
2015-06-19,26.98,27.08,26.60,26.67,5198600,26.221169
2015-06-18,27.040001,27.33,26.99,27.01,3120700,26.555447
2015-06-17,26.540001,26.99,26.34,26.950001,2936300,26.496457
2015-06-16,25.93,26.389999,25.799999,26.379999,2912300,25.936048
2015-06-15,26.02,26.049999,25.709999,25.870001,2879000,25.434633
2015-06-12,26.450001,26.60,26.08,26.129999,3286700,25.690255
2015-06-11,26.32,26.60,26.299999,26.60,2592800,26.152347
2015-06-10,26.129999,26.57,26.030001,26.35,2950500,25.906554
2015-06-09,25.98,26.23,25.85,26.01,2797800,25.572276
2015-06-08,25.68,25.940001,25.610001,25.82,2789600,25.385473
2015-06-05,25.32,25.74,25.309999,25.620001,3005000,25.18884
2015-06-04,25.549999,25.67,25.23,25.35,2852700,24.923383
2015-06-03,25.66,25.709999,25.40,25.66,3912500,25.228166
2015-06-02,25.68,25.940001,25.57,25.58,2867300,25.149512
2015-06-01,25.84,26.16,25.620001,25.809999,2739900,25.375641
2015-05-29,25.77,25.93,25.51,25.809999,3544400,25.375641
2015-05-28,26.110001,26.110001,25.77,25.860001,2105200,25.424801
2015-05-27,26.110001,26.23,25.84,26.110001,3919300,25.670593
2015-05-26,26.280001,26.280001,26.049999,26.07,5056800,25.631266
2015-05-22,26.190001,26.469999,26.09,26.34,3889900,25.896722
2015-05-21,25.67,26.27,25.65,26.120001,4951700,25.680425
2015-05-20,25.65,25.790001,25.360001,25.76,4197100,25.326483
2015-05-19,26.27,26.42,25.76,26.01,5228900,25.198671
2015-05-18,26.85,27.040001,26.17,26.280001,3459000,25.46025
2015-05-15,26.700001,27.110001,26.67,26.950001,3867800,26.109351
2015-05-14,26.290001,26.77,26.08,26.73,4109600,25.896212
2015-05-13,26.879999,26.879999,26.030001,26.17,5120800,25.35368
2015-05-12,27.219999,27.299999,26.870001,26.879999,3259000,26.041532
2015-05-11,27.08,27.49,26.879999,27.40,4143900,26.545313
2015-05-08,27.01,27.27,26.99,27.15,5482200,26.303111
2015-05-07,27.120001,27.290001,26.780001,26.83,5363900,25.993093
2015-05-06,27.610001,27.610001,27.059999,27.200001,4893400,26.351552
2015-05-05,27.90,27.99,27.440001,27.620001,3354300,26.758451
2015-05-04,28.049999,28.27,27.76,27.84,3637700,26.971588
2015-05-01,28.15,28.379999,27.84,28.02,4599500,27.145974
2015-04-30,28.280001,28.50,28.059999,28.16,4452500,27.281606
2015-04-29,28.450001,28.59,28.16,28.43,4738500,27.543184
2015-04-28,28.60,28.790001,28.370001,28.620001,7780100,27.727258
2015-04-27,30.24,30.309999,28.73,28.799999,12335900,27.901642
2015-04-24,29.950001,30.440001,29.559999,30.200001,18553000,29.257973
2015-04-23,28.360001,29.030001,28.360001,28.92,10148100,28.0179
2015-04-22,27.309999,28.40,27.139999,28.360001,13303300,27.475368
2015-04-21,26.709999,27.25,26.68,27.219999,8869900,26.370927
2015-04-20,26.82,27.25,26.219999,27.219999,8962400,26.370927
2015-04-17,27.01,27.379999,25.50,26.75,27985200,25.915588
2015-04-16,25.870001,26.08,24.700001,25.27,10883100,24.481754
2015-04-15,24.639999,25.530001,24.610001,25.370001,9134800,24.578635
