Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,19.52,19.58,18.82,19.280001,8142600,19.280001
2015-10-15,18.76,19.459999,18.690001,19.43,9402000,19.43
2015-10-14,18.459999,19.040001,18.440001,18.91,8484200,18.91
2015-10-13,18.799999,19.33,18.49,18.59,10324400,18.59
2015-10-12,19.559999,19.610001,18.41,18.959999,13771800,18.959999
2015-10-09,20.43,20.440001,19.389999,19.59,14136400,19.59
2015-10-08,19.10,20.389999,19.02,20.18,17052800,20.18
2015-10-07,19.59,20.33,18.42,19.17,26600100,19.17
2015-10-06,18.120001,19.280001,18.00,19.17,25538500,19.17
2015-10-05,17.08,18.129999,17.00,18.049999,17500900,18.049999
2015-10-02,15.16,16.690001,15.00,16.66,11597800,16.66
2015-10-01,15.79,16.190001,15.14,15.31,14173000,15.31
2015-09-30,15.14,15.59,15.00,15.40,13694800,15.40
2015-09-29,14.86,15.18,14.71,14.97,10991600,14.97
2015-09-28,15.48,15.55,14.75,14.76,9916000,14.76
2015-09-25,15.67,16.049999,15.39,15.75,13870300,15.75
2015-09-24,15.09,15.68,15.04,15.45,12012400,15.45
2015-09-23,15.75,15.95,15.25,15.30,12539500,15.30
2015-09-22,15.75,16.299999,15.54,15.66,12190100,15.66
2015-09-21,16.02,16.530001,15.67,16.110001,13931900,16.110001
2015-09-18,16.23,16.33,15.57,15.84,26820700,15.84
2015-09-17,16.23,16.98,16.129999,16.43,19624200,16.43
2015-09-16,15.62,16.24,15.62,16.209999,16624200,16.209999
2015-09-15,15.47,15.85,15.35,15.45,15501800,15.45
2015-09-14,14.99,15.48,14.81,15.41,15436900,15.41
2015-09-11,14.75,15.14,14.59,15.09,15624900,15.09
2015-09-10,15.03,15.42,14.74,14.98,18701700,14.98
2015-09-09,16.42,16.879999,14.86,14.91,33846500,14.91
2015-09-08,16.58,16.629999,16.040001,16.32,13650100,16.32
2015-09-04,16.59,16.709999,16.24,16.360001,15418700,16.360001
2015-09-03,16.940001,17.59,16.65,16.870001,13560400,16.870001
2015-09-02,17.110001,17.139999,16.15,16.870001,14654000,16.870001
2015-09-01,16.719999,17.219999,16.459999,16.85,17803600,16.85
2015-08-31,16.41,17.360001,15.82,17.290001,18409800,17.290001
2015-08-28,15.89,17.10,15.87,16.65,20994300,16.65
2015-08-27,14.93,16.129999,14.87,15.97,22345600,15.97
2015-08-26,14.32,14.67,14.07,14.65,13532100,14.65
2015-08-25,15.10,15.10,14.03,14.04,13362400,14.04
2015-08-24,14.51,15.24,14.29,14.39,22316000,14.39
2015-08-21,16.030001,16.280001,15.70,15.73,18792000,15.73
2015-08-20,16.17,16.57,15.95,16.129999,14223100,16.129999
2015-08-19,17.34,17.48,16.08,16.23,19790000,16.23
2015-08-18,17.33,17.799999,17.26,17.48,8936600,17.48
2015-08-17,17.15,17.389999,16.90,17.360001,15383100,17.360001
2015-08-14,18.00,18.27,17.360001,17.40,12877300,17.189999
2015-08-13,18.790001,18.870001,17.98,18.02,10108900,17.802517
2015-08-12,18.84,19.219999,18.540001,19.059999,12432300,18.829965
2015-08-11,18.48,18.92,18.110001,18.879999,14193500,18.652137
2015-08-10,18.42,19.09,18.15,18.98,11948200,18.75093
2015-08-07,19.370001,19.91,18.25,18.40,11654700,18.17793
2015-08-06,19.049999,19.74,17.860001,19.450001,21784200,19.215259
2015-08-05,20.82,21.059999,19.74,19.790001,16224000,19.551156
2015-08-04,20.709999,20.99,20.280001,20.51,9375600,20.262465
