Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,73.389999,74.190002,71.110001,71.949997,1436000,71.949997
2015-10-15,71.43,73.360001,70.629997,73.290001,1314600,73.290001
2015-10-14,68.82,71.309998,68.620003,71.120003,2521600,71.120003
2015-10-13,71.309998,71.650002,68.239998,68.629997,5169800,68.629997
2015-10-12,75.800003,76.080002,74.639999,75.650002,414200,75.650002
2015-10-09,75.279999,76.330002,75.160004,75.879997,643100,75.879997
2015-10-08,73.800003,75.260002,73.75,75.129997,566000,75.129997
2015-10-07,73.629997,74.910004,73.07,74.129997,684900,74.129997
2015-10-06,73.75,74.510002,72.800003,73.18,754700,73.18
2015-10-05,72.230003,74.519997,72.230003,74.010002,1120900,74.010002
2015-10-02,70.760002,71.559998,69.550003,71.550003,1650800,71.550003
2015-10-01,74.040001,74.540001,71.50,71.839996,1780500,71.839996
2015-09-30,74.50,75.639999,73.480003,74.040001,682800,74.040001
2015-09-29,73.629997,75.599998,72.660004,73.519997,711900,73.519997
2015-09-28,74.809998,74.809998,73.099998,73.580002,1127300,73.580002
2015-09-25,75.629997,75.779999,74.550003,75.129997,793100,75.129997
2015-09-24,76.050003,76.139999,74.279999,75.010002,942200,75.010002
2015-09-23,78.279999,78.279999,75.989998,76.779999,711500,76.779999
2015-09-22,80.129997,80.129997,77.419998,78.089996,821100,78.089996
2015-09-21,81.610001,82.25,80.870003,81.199997,488100,81.199997
2015-09-18,82.970001,83.769997,80.540001,80.860001,896100,80.860001
2015-09-17,83.970001,85.080002,83.620003,83.889999,479800,83.889999
2015-09-16,83.620003,84.330002,82.980003,83.919998,744500,83.919998
2015-09-15,81.769997,84.160004,81.580002,83.900002,632500,83.900002
2015-09-14,81.769997,82.360001,81.07,81.349998,477200,81.349998
2015-09-11,81.010002,81.879997,80.940002,81.879997,472700,81.879997
2015-09-10,81.269997,82.330002,80.900002,81.620003,471400,81.620003
2015-09-09,82.599998,82.910004,80.830002,81.019997,970700,81.019997
2015-09-08,81.800003,82.970001,81.57,82.910004,519300,82.910004
2015-09-04,80.059998,81.400002,79.739998,80.169998,469800,80.169998
2015-09-03,81.449997,82.419998,81.040001,81.190002,504100,81.190002
2015-09-02,80.110001,81.00,79.279999,81.00,700600,81.00
2015-09-01,80.269997,80.739998,78.800003,79.120003,947300,79.120003
2015-08-31,81.559998,82.650002,81.309998,81.970001,668900,81.970001
2015-08-28,81.620003,83.00,81.559998,82.040001,1198900,82.040001
2015-08-27,79.870003,81.919998,79.870003,81.32,1105200,81.32
2015-08-26,78.110001,79.199997,76.529999,79.029999,959300,79.029999
2015-08-25,79.93,80.389999,76.120003,76.160004,1225800,76.160004
2015-08-24,76.910004,80.870003,75.559998,77.709999,1237000,77.709999
2015-08-21,82.150002,83.169998,80.260002,80.989998,1577600,80.989998
2015-08-20,85.589996,85.970001,82.970001,83.089996,1017100,83.089996
2015-08-19,87.559998,88.050003,86.199997,86.529999,909400,86.120001
2015-08-18,88.919998,89.269997,88.309998,88.410004,512800,87.991098
2015-08-17,88.900002,89.440002,87.839996,88.889999,539400,88.46882
2015-08-14,88.480003,89.410004,88.260002,89.209999,320800,88.787303
2015-08-13,89.940002,89.940002,88.650002,88.75,348800,88.329484
2015-08-12,89.709999,90.160004,87.860001,89.50,850600,89.07593
2015-08-11,91.019997,91.75,89.599998,90.419998,804700,89.991569
2015-08-10,90.709999,92.300003,90.709999,91.790001,553100,91.35508
2015-08-07,91.360001,91.360001,90.089996,90.50,1745800,90.071192
2015-08-06,92.209999,92.690002,90.870003,91.550003,794000,91.11622
2015-08-05,92.099998,93.57,91.879997,91.910004,553500,91.474515
2015-08-04,91.370003,92.300003,91.18,91.639999,546500,91.20579
2015-08-03,90.699997,91.940002,89.730003,91.589996,792400,91.156024
2015-07-31,92.099998,92.309998,90.419998,90.519997,802000,90.091094
2015-07-30,91.82,92.120003,90.769997,91.970001,459800,91.534228
2015-07-29,88.980003,92.449997,88.980003,92.169998,933900,91.733277
2015-07-28,87.769997,89.739998,87.040001,88.980003,666400,88.558397
2015-07-27,87.110001,87.870003,86.769997,87.32,759000,86.906259
2015-07-24,88.089996,89.370003,87.160004,87.720001,951100,87.304365
2015-07-23,90.980003,92.129997,87.959999,88.419998,2310100,88.001046
2015-07-22,93.580002,93.860001,91.779999,93.080002,1392600,92.638969
2015-07-21,91.50,93.839996,91.459999,93.269997,1043800,92.828064
2015-07-20,91.599998,92.260002,91.519997,91.709999,783000,91.275458
2015-07-17,91.529999,92.50,90.970001,91.489998,485600,91.056499
2015-07-16,90.669998,91.160004,90.290001,91.129997,354500,90.698204
2015-07-15,91.550003,91.669998,90.00,90.25,378200,89.822376
2015-07-14,91.550003,92.089996,91.00,91.459999,549000,91.026642
2015-07-13,90.610001,92.220001,90.050003,91.790001,849600,91.35508
2015-07-10,89.199997,90.110001,88.970001,90.00,627000,89.573561
2015-07-09,88.199997,88.739998,87.690002,87.809998,424400,87.393935
2015-07-08,87.730003,88.00,86.580002,87.230003,714900,86.816689
2015-07-07,87.93,88.639999,86.220001,88.589996,601300,88.170238
2015-07-06,87.809998,88.889999,87.309998,87.599998,638300,87.184931
2015-07-02,88.199997,88.75,87.769997,88.360001,605500,87.941332
2015-07-01,88.029999,89.339996,87.860001,88.110001,709500,87.692517
2015-06-30,87.620003,88.410004,86.82,87.370003,644200,86.956025
2015-06-29,89.290001,89.68,86.75,86.889999,1113900,86.478296
2015-06-26,89.690002,89.699997,88.540001,89.080002,1032700,88.657922
2015-06-25,91.989998,92.190002,89.43,89.68,830000,89.255077
2015-06-24,93.32,93.610001,91.220001,91.620003,489300,91.185888
2015-06-23,93.959999,94.400002,93.169998,93.32,388400,92.87783
2015-06-22,93.93,94.32,93.610001,94.00,336700,93.554608
2015-06-19,93.389999,94.419998,93.160004,93.449997,460600,93.007211
2015-06-18,92.099998,94.290001,92.099998,93.470001,543900,93.027121
2015-06-17,92.029999,92.730003,91.019997,91.970001,506900,91.534228
2015-06-16,92.809998,93.849998,91.910004,92.110001,452300,91.673564
2015-06-15,93.199997,93.480003,92.300003,92.790001,486600,92.350342
2015-06-12,94.68,94.879997,93.489998,93.839996,519900,93.395363
2015-06-11,94.769997,95.489998,94.769997,95.00,487000,94.54987
2015-06-10,94.040001,95.059998,93.779999,94.349998,649200,93.902948
2015-06-09,93.470001,94.309998,93.279999,93.709999,485200,93.265981
2015-06-08,94.720001,95.059998,93.800003,93.879997,489800,93.435174
2015-06-05,92.919998,95.290001,92.809998,94.769997,681400,94.320956
2015-06-04,92.889999,94.129997,92.889999,93.290001,746700,92.847973
2015-06-03,91.919998,94.169998,91.919998,93.610001,639400,93.166457
2015-06-02,91.279999,92.709999,91.019997,92.129997,410200,91.693466
2015-06-01,91.889999,92.379997,90.970001,91.919998,653100,91.484462
2015-05-29,93.309998,93.309998,91.120003,91.650002,1101800,91.215744
2015-05-28,94.660004,94.660004,92.360001,93.690002,858300,93.246079
2015-05-27,94.139999,95.050003,93.279999,94.769997,442800,94.320956
2015-05-26,96.870003,96.879997,93.470001,93.610001,706600,93.166457
2015-05-22,94.93,95.300003,93.230003,94.190002,630000,93.74371
2015-05-21,94.239998,95.239998,93.660004,95.019997,391100,94.569772
2015-05-20,95.93,96.440002,93.970001,94.139999,440800,93.693944
2015-05-19,97.00,97.120003,95.709999,95.900002,456900,95.445607
2015-05-18,95.589996,96.970001,95.279999,96.839996,376800,96.381148
2015-05-15,95.419998,96.050003,95.160004,95.639999,637700,95.186837
2015-05-14,94.010002,95.199997,93.339996,95.099998,686000,94.649395
2015-05-13,94.529999,95.00,92.510002,93.889999,767100,93.076877
2015-05-12,95.870003,95.870003,94.360001,94.50,433500,93.681594
2015-05-11,95.949997,96.800003,95.709999,96.550003,407400,95.713844
2015-05-08,96.440002,97.07,95.809998,95.93,298300,95.09921
2015-05-07,94.730003,95.980003,94.440002,95.459999,412300,94.63328
2015-05-06,96.00,96.110001,94.199997,94.790001,930100,93.969084
2015-05-05,96.519997,97.230003,95.629997,95.779999,455100,94.950508
2015-05-04,96.760002,97.839996,96.440002,96.910004,355400,96.070727
2015-05-01,95.82,97.029999,95.209999,96.730003,356300,95.892285
2015-04-30,96.489998,96.919998,95.00,95.360001,795200,94.534147
2015-04-29,96.870003,97.330002,96.050003,97.110001,793800,96.268991
2015-04-28,97.330002,98.43,97.010002,98.00,649900,97.151283
2015-04-27,98.809998,98.949997,96.339996,97.540001,741400,96.695268
2015-04-24,99.949997,99.949997,98.059998,98.839996,564600,97.984005
2015-04-23,98.00,100.639999,97.68,99.580002,1315000,98.717602
2015-04-22,98.00,98.480003,97.25,97.949997,1564800,97.101713
2015-04-21,96.120003,96.949997,95.550003,96.800003,679900,95.961679
2015-04-20,94.910004,96.339996,94.739998,95.949997,502700,95.119034
2015-04-17,94.190002,94.660004,93.889999,94.480003,374300,93.661771
2015-04-16,95.25,95.269997,94.489998,94.860001,323200,94.038477
2015-04-15,95.330002,96.160004,94.910004,95.370003,674300,94.544063
2015-04-14,94.559998,95.339996,93.860001,95.07,352100,94.246658
2015-04-13,95.07,96.639999,95.07,95.349998,634600,94.524232
2015-04-10,94.82,95.580002,94.589996,95.43,360000,94.603541
2015-04-09,93.50,94.82,93.50,94.519997,724000,93.701418
2015-04-08,93.800003,94.129997,93.169998,93.720001,778700,92.908351
2015-04-07,94.32,94.860001,93.57,93.800003,602000,92.98766
2015-04-06,94.099998,95.120003,93.529999,94.07,323000,93.255318
2015-04-02,94.849998,95.860001,94.330002,94.389999,306400,93.572546
2015-04-01,94.660004,95.360001,93.790001,94.82,355200,93.998823
2015-03-31,95.82,95.82,94.720001,94.889999,316500,94.068216
2015-03-30,95.089996,96.550003,94.949997,96.32,282900,95.485832
