Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,25.65,25.799999,25.190001,25.450001,1138900,25.450001
2015-10-15,25.15,25.57,24.93,25.559999,2064300,25.559999
2015-10-14,25.370001,25.57,24.92,25.030001,1687100,25.030001
2015-10-13,25.379999,25.690001,25.139999,25.35,808300,25.35
2015-10-12,26.18,26.290001,25.50,25.530001,1685600,25.530001
2015-10-09,26.43,26.52,25.90,26.200001,1916000,26.200001
2015-10-08,25.59,26.76,25.41,26.43,3314300,26.43
2015-10-07,24.02,25.60,23.950001,25.59,2912700,25.59
2015-10-06,23.799999,24.24,23.66,23.90,1492200,23.90
2015-10-05,23.33,24.02,23.33,23.91,1843000,23.91
2015-10-02,21.92,23.110001,21.299999,23.09,1201800,23.09
2015-10-01,22.459999,22.68,22.16,22.610001,1268400,22.610001
2015-09-30,22.10,22.639999,22.040001,22.389999,2060100,22.389999
2015-09-29,22.299999,22.35,21.629999,21.85,1879000,21.85
2015-09-28,22.73,22.77,22.24,22.24,1680800,22.24
2015-09-25,23.049999,23.24,22.66,22.799999,1055800,22.799999
2015-09-24,22.74,22.93,22.450001,22.85,1011800,22.85
2015-09-23,23.23,23.35,22.68,22.90,1061900,22.90
2015-09-22,23.27,23.33,22.809999,23.24,2054300,23.24
2015-09-21,23.35,23.82,23.190001,23.58,1699300,23.58
2015-09-18,23.629999,23.879999,23.07,23.219999,3476600,23.219999
2015-09-17,23.83,24.360001,23.77,23.92,1078500,23.92
2015-09-16,23.379999,23.91,23.280001,23.82,1102100,23.82
2015-09-15,23.059999,23.620001,22.969999,23.50,1603000,23.50
2015-09-14,23.15,23.190001,22.74,22.969999,1695300,22.969999
2015-09-11,22.93,23.200001,22.780001,23.17,1014700,23.17
2015-09-10,23.219999,23.530001,22.799999,23.200001,1472300,23.200001
2015-09-09,23.809999,23.969999,23.16,23.219999,1689200,23.219999
2015-09-08,23.75,23.92,23.40,23.559999,3431900,23.559999
2015-09-04,23.059999,23.18,22.75,22.93,2140800,22.93
2015-09-03,23.139999,23.75,23.139999,23.41,1714200,23.41
2015-09-02,23.379999,23.620001,22.799999,23.110001,2306100,23.110001
2015-09-01,22.98,23.530001,22.940001,23.219999,2907500,23.079999
2015-08-31,24.02,24.459999,23.73,23.790001,2542200,23.646564
2015-08-28,23.42,24.309999,23.42,24.16,2730700,24.014332
2015-08-27,23.42,23.790001,23.00,23.440001,3158600,23.298674
2015-08-26,22.530001,23.370001,22.23,23.23,3158000,23.089939
2015-08-25,23.610001,23.610001,22.42,22.42,3625300,22.284823
2015-08-24,22.059999,25.389999,22.059999,23.35,4283900,23.209216
2015-08-21,24.23,24.74,23.91,23.940001,3173900,23.795659
2015-08-20,24.65,24.77,24.129999,24.50,2609900,24.352282
2015-08-19,25.16,25.25,24.690001,24.99,2000200,24.839327
2015-08-18,24.879999,25.51,24.780001,25.379999,2389400,25.226975
2015-08-17,25.190001,25.809999,25.049999,25.780001,2219700,25.624565
2015-08-14,25.49,25.690001,24.92,25.440001,2454400,25.286615
2015-08-13,26.040001,26.639999,25.530001,25.60,1690100,25.44565
2015-08-12,25.85,26.389999,25.18,26.09,3352900,25.932696
2015-08-11,26.879999,27.02,25.969999,26.02,2014700,25.863118
2015-08-10,26.799999,27.360001,26.60,27.040001,2071800,26.876968
2015-08-07,26.200001,26.879999,26.200001,26.58,1798000,26.419741
2015-08-06,27.59,27.59,26.16,26.379999,4475700,26.220946
